gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,work_phone,phone,email,occyp_type,family_size,begin_month
0,0,0,0,202500.0,0,1,1,2,13899,4709,0,0,0,5,2.0,6.0
0,0,1,1,247500.0,0,4,0,1,11380,1540,0,0,1,9,3.0,5.0
1,1,1,0,450000.0,4,1,1,1,19087,4434,0,1,0,11,2.0,22.0
0,0,1,0,202500.0,0,4,1,1,15088,2092,0,1,0,16,2.0,37.0
0,1,1,0,157500.0,2,1,1,1,15037,2105,0,0,0,11,2.0,26.0
0,0,1,2,270000.0,4,4,1,1,13413,4996,0,0,1,7,4.0,18.0
0,0,0,0,315000.0,4,4,2,1,17570,1978,0,0,1,3,1.0,41.0
1,0,1,0,270000.0,0,4,1,1,14896,5420,0,0,1,4,2.0,53.0
1,1,1,1,180000.0,0,1,1,1,15131,1466,0,0,1,5,3.0,38.0
0,0,1,0,103500.0,4,4,1,1,15785,1308,0,0,0,12,2.0,5.0
0,0,1,0,193500.0,4,4,2,1,19063,2213,1,1,1,9,1.0,40.0
1,1,1,1,135000.0,0,1,1,1,11759,91,0,0,0,11,3.0,51.0
0,1,1,1,157500.0,0,4,1,1,11938,2162,0,0,0,0,3.0,60.0
0,0,0,0,135000.0,4,1,1,1,9887,2474,0,1,0,16,2.0,41.0
0,0,1,0,157500.0,1,4,3,1,22922,0,0,1,0,13,1.0,41.0
1,1,1,2,157500.0,4,4,1,5,12859,4056,0,1,0,4,4.0,60.0
1,0,1,0,180000.0,4,4,1,1,19408,4553,0,1,0,9,2.0,2.0
1,0,0,0,270000.0,0,4,0,5,8853,984,0,0,1,16,2.0,14.0
0,0,1,0,216000.0,1,4,1,1,23113,0,0,0,0,13,2.0,37.0
0,0,1,0,180000.0,4,4,1,1,13727,6031,0,0,0,5,2.0,7.0
1,0,0,0,180000.0,4,4,1,1,19850,1753,0,1,0,5,2.0,35.0
0,0,0,0,157500.0,1,4,1,1,21253,0,0,1,0,13,2.0,7.0
0,0,0,0,157500.0,0,4,0,1,15198,1357,0,0,0,9,2.0,22.0
1,1,0,0,225000.0,4,4,1,2,14542,444,1,1,1,5,2.0,18.0
0,0,0,0,202500.0,1,4,3,1,22361,0,0,1,0,13,1.0,5.0
0,0,1,1,225000.0,0,4,1,1,14058,3694,0,0,0,15,3.0,4.0
1,1,0,1,135000.0,4,1,1,1,17843,3353,1,0,0,9,3.0,13.0
1,1,1,0,405000.0,2,4,1,1,17309,3500,0,0,0,5,2.0,57.0
1,1,0,0,112500.0,0,4,1,5,22111,2325,1,1,0,4,2.0,47.0
0,0,1,0,121500.0,0,4,1,0,12017,1711,0,1,0,16,2.0,22.0
1,1,0,0,225000.0,0,4,1,1,13188,227,0,0,0,11,2.0,33.0
1,1,1,0,135000.0,0,1,1,1,11762,3452,1,0,1,9,2.0,18.0
0,0,1,0,135000.0,4,1,1,1,13299,1628,0,0,0,9,2.0,2.0
1,0,1,0,202500.0,4,4,1,1,19200,346,0,1,0,7,2.0,30.0
1,1,1,1,270000.0,4,4,1,1,14488,1630,0,1,0,9,3.0,22.0
0,1,0,0,225000.0,4,1,0,1,14438,2433,0,0,0,11,2.0,20.0
0,1,0,0,225000.0,4,1,3,1,20200,1022,1,1,0,0,1.0,14.0
1,1,1,0,585000.0,0,4,1,5,16653,1646,0,0,0,4,2.0,8.0
0,0,1,0,202500.0,4,4,1,1,13582,3472,0,0,0,16,2.0,41.0
1,1,1,2,112500.0,4,4,1,1,13022,1600,0,0,0,9,4.0,39.0
1,1,1,0,90900.0,4,4,1,1,21700,2426,0,0,0,9,2.0,21.0
0,0,1,2,99000.0,0,1,1,1,12752,433,0,1,0,0,4.0,19.0
1,0,0,1,270000.0,4,4,1,1,9943,554,1,0,0,11,3.0,35.0
0,0,0,0,67500.0,4,4,1,1,9963,1876,0,0,0,16,2.0,8.0
1,0,0,0,247500.0,4,1,0,1,15125,199,0,0,0,4,2.0,26.0
1,1,0,0,405000.0,4,1,1,1,18655,3200,1,1,0,7,2.0,4.0
0,0,0,0,135000.0,1,4,4,1,21100,0,0,1,0,13,1.0,24.0
0,1,1,0,292500.0,0,1,1,1,18409,3482,0,0,0,16,2.0,48.0
0,0,1,0,99000.0,1,4,1,1,23585,0,0,0,0,13,2.0,4.0
0,0,1,0,585000.0,0,4,1,1,18858,2010,0,1,0,5,2.0,12.0
0,1,0,1,90000.0,4,4,1,1,13951,1101,1,0,0,16,3.0,4.0
1,1,1,0,495000.0,4,2,1,5,8917,1101,0,0,1,4,2.0,10.0
0,0,1,0,54000.0,1,4,1,1,24044,0,0,1,0,13,2.0,37.0
0,1,1,2,306000.0,2,1,1,1,13541,3965,0,0,0,3,4.0,42.0
0,0,0,1,99000.0,4,4,1,1,15626,422,0,0,0,5,3.0,2.0
0,0,1,0,180000.0,4,4,1,1,13856,3010,0,0,0,9,2.0,24.0
0,1,1,0,130500.0,4,4,1,1,16137,9391,0,1,0,9,2.0,29.0
0,0,1,0,225000.0,0,1,3,1,17031,642,0,0,0,3,1.0,3.0
0,0,1,0,144000.0,1,4,1,1,23334,0,0,0,0,13,2.0,23.0
0,0,1,0,360000.0,1,1,1,1,22985,0,0,1,0,13,2.0,25.0
1,1,1,0,112500.0,1,4,2,1,21397,0,0,0,0,13,1.0,1.0
1,1,0,1,270000.0,0,1,1,1,11373,1371,0,0,0,11,3.0,15.0
0,1,1,0,225000.0,4,1,1,1,17402,3153,0,1,0,3,2.0,40.0
1,1,1,0,315000.0,4,1,1,1,15586,3337,0,0,0,11,2.0,21.0
1,1,0,0,67500.0,0,4,3,2,9047,716,0,0,0,18,1.0,32.0
0,0,1,0,40500.0,4,4,1,1,12729,4936,1,0,0,1,2.0,10.0
1,0,1,1,144000.0,4,4,1,1,13761,2783,0,0,0,9,3.0,4.0
0,0,1,2,157500.0,0,1,1,1,12135,1216,0,0,0,7,4.0,2.0
0,0,0,0,180000.0,4,4,1,1,10309,1610,0,0,0,9,2.0,14.0
0,0,1,0,157500.0,4,1,1,1,15462,2969,0,0,1,12,2.0,59.0
1,0,1,0,81000.0,0,1,3,1,9874,1928,0,1,0,9,1.0,39.0
1,1,0,2,202500.0,4,4,1,1,15904,3787,0,0,0,9,4.0,54.0
0,0,0,0,351000.0,0,1,1,1,21574,1081,0,1,0,5,2.0,4.0
0,0,1,0,180000.0,1,4,1,1,23269,0,0,1,0,13,2.0,34.0
0,0,1,1,67500.0,4,4,1,1,10350,219,1,1,0,16,3.0,25.0
0,1,1,0,315000.0,0,4,1,1,15653,5500,0,0,1,3,2.0,34.0
0,1,0,0,315000.0,0,1,1,1,13557,586,1,1,0,5,2.0,15.0
0,0,0,0,135000.0,4,1,3,1,9818,520,0,0,0,3,1.0,7.0
0,1,1,0,112500.0,4,4,1,1,12690,231,1,0,0,16,2.0,23.0
0,1,1,1,225000.0,4,1,2,1,14816,1672,0,0,0,3,2.0,2.0
0,0,1,0,247500.0,0,4,0,1,17862,212,0,0,0,9,2.0,2.0
1,1,1,0,135000.0,4,4,1,1,10314,962,0,0,1,16,2.0,0.0
0,1,1,0,216000.0,4,1,0,1,15274,1423,0,0,1,0,2.0,53.0
0,0,0,2,180000.0,4,1,1,1,11905,1700,0,0,0,7,4.0,38.0
1,1,1,0,135000.0,1,4,1,1,23563,0,0,1,0,13,2.0,27.0
1,1,0,0,184500.0,4,4,1,2,18013,1215,0,0,0,9,2.0,41.0
1,1,1,1,112500.0,4,4,1,1,12571,451,1,0,1,4,3.0,45.0
0,0,1,0,270000.0,0,4,4,1,13270,235,1,1,1,3,1.0,56.0
0,1,1,0,360000.0,0,4,1,1,20412,5427,0,0,0,11,2.0,45.0
1,0,0,0,450000.0,0,2,1,1,14465,4145,1,1,0,11,2.0,59.0
0,0,1,0,45000.0,2,4,1,1,20200,9404,1,0,0,1,2.0,30.0
0,1,1,0,202500.0,4,4,1,1,18744,2988,0,0,0,14,2.0,20.0
1,1,1,1,135000.0,0,4,1,1,12190,691,0,0,0,9,3.0,5.0
0,0,1,0,202500.0,0,4,3,1,19053,3629,0,0,0,7,1.0,22.0
0,0,1,0,180000.0,1,4,1,1,23770,0,0,0,0,13,2.0,26.0
1,0,1,0,79650.0,1,4,1,1,16081,0,0,1,0,13,2.0,14.0
1,0,1,0,450000.0,0,4,1,1,23674,2087,0,0,0,18,2.0,56.0
1,1,1,0,157500.0,4,4,0,1,9373,1212,0,0,0,4,2.0,46.0
1,1,1,0,450000.0,0,1,3,1,10837,588,0,0,1,16,1.0,5.0
0,0,0,0,270000.0,2,4,2,1,19363,12332,0,1,1,12,1.0,35.0
0,0,1,0,135000.0,4,1,1,1,22112,8491,0,0,0,14,2.0,9.0
0,0,1,0,81000.0,4,4,1,1,19661,3046,1,1,0,11,2.0,2.0
0,0,0,1,135000.0,0,4,1,1,12269,604,0,0,0,11,3.0,12.0
1,1,0,0,315000.0,4,1,1,1,15825,3720,1,1,0,11,2.0,12.0
1,1,1,0,225000.0,0,1,3,1,15994,2537,0,1,0,16,1.0,7.0
1,1,1,0,135000.0,0,4,1,1,9984,2606,0,0,0,9,2.0,5.0
0,0,0,1,90000.0,4,4,1,1,16118,1959,0,1,0,5,3.0,47.0
0,1,0,1,306000.0,4,1,1,1,9310,1678,0,0,0,5,3.0,4.0
0,0,1,0,153000.0,4,1,3,1,10762,683,0,1,0,3,1.0,22.0
0,0,1,0,126000.0,4,4,1,1,22811,2234,1,1,0,7,2.0,13.0
1,1,1,0,315000.0,0,1,1,1,12846,164,0,0,0,11,2.0,57.0
1,1,1,1,225000.0,4,4,1,1,16175,2371,0,0,0,4,3.0,44.0
0,0,0,0,193500.0,4,4,3,1,17826,201,0,1,0,9,1.0,4.0
0,0,1,2,90000.0,0,4,1,1,17384,1138,0,0,0,2,4.0,36.0
1,1,1,2,135000.0,4,1,1,1,11564,2944,0,0,1,11,4.0,43.0
0,0,0,0,81000.0,1,4,1,1,20920,0,0,0,0,13,2.0,49.0
0,1,1,1,382500.0,4,4,1,1,14317,2751,0,0,0,11,3.0,11.0
0,0,1,0,202500.0,0,4,1,1,16173,674,0,0,0,16,2.0,27.0
0,0,1,0,112500.0,4,1,1,1,18259,5756,0,1,0,16,2.0,47.0
0,0,1,2,144000.0,4,4,1,1,12393,1854,1,1,0,2,4.0,0.0
0,0,1,0,157500.0,1,4,4,1,21497,0,0,0,0,13,1.0,4.0
0,0,0,0,144000.0,4,4,1,2,16641,9988,1,1,0,16,2.0,35.0
0,1,1,2,283500.0,2,1,1,1,12902,4120,0,0,0,3,4.0,39.0
0,0,1,0,202500.0,4,4,1,1,19431,6226,0,0,0,7,2.0,48.0
0,1,1,2,90000.0,0,4,1,1,15525,3357,0,0,0,0,4.0,55.0
1,0,1,0,360000.0,0,4,1,1,12483,4039,0,0,0,11,2.0,42.0
0,1,0,1,175500.0,0,4,3,2,11709,4983,0,0,0,9,2.0,45.0
1,1,1,1,360000.0,0,1,1,1,16537,410,0,1,1,9,3.0,30.0
0,0,1,1,112500.0,4,4,1,1,13741,5221,0,0,0,9,3.0,38.0
1,0,0,1,315000.0,4,4,1,1,17537,1749,0,0,0,9,3.0,11.0
0,0,1,0,297000.0,0,4,3,4,15519,3234,0,0,0,9,1.0,1.0
0,1,0,0,202500.0,0,4,0,5,14228,5330,0,1,0,5,2.0,33.0
0,0,0,0,225000.0,0,1,1,1,10559,429,1,1,0,4,2.0,35.0
0,1,0,1,387000.0,4,1,1,1,13168,2574,0,0,0,11,3.0,22.0
0,1,1,0,135000.0,1,4,4,1,22991,0,0,0,0,13,1.0,6.0
1,1,0,1,337500.0,0,1,2,1,15333,196,0,1,0,11,2.0,23.0
0,0,0,1,225000.0,0,4,0,1,12640,399,0,0,0,0,3.0,29.0
0,1,1,1,225000.0,0,4,1,1,13591,3246,0,0,0,16,3.0,46.0
0,0,1,0,54000.0,1,4,1,1,24367,0,0,0,0,13,2.0,2.0
0,1,0,0,157500.0,0,4,1,1,13590,982,0,1,0,5,2.0,39.0
1,1,1,1,180000.0,4,1,1,5,11917,1680,1,0,0,9,3.0,15.0
0,1,1,1,112500.0,0,1,0,1,10551,3000,0,0,1,3,3.0,12.0
1,1,1,0,360000.0,4,1,1,1,22456,1934,0,1,0,11,2.0,11.0
0,1,1,0,256500.0,0,4,1,1,13821,1071,0,0,1,3,2.0,45.0
0,1,0,0,180000.0,4,4,1,1,10351,1322,0,0,0,5,2.0,8.0
0,1,0,0,202500.0,2,4,1,1,19598,11940,0,1,0,12,2.0,7.0
0,0,0,0,247500.0,4,1,1,1,14136,7400,1,1,0,11,2.0,6.0
0,0,1,0,157500.0,4,1,1,1,12681,709,0,0,0,16,2.0,11.0
