gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,work_phone,phone,email,occyp_type,family_size,begin_month,credit
M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-18820,-3185,1,0,1,0,Low-skill Laborers,2.0,-7.0,1.0
F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-21497,365243,1,0,0,0,,1.0,-4.0,1.0
M,Y,N,2,180000.0,State servant,Secondary / secondary special,Married,House / apartment,-12240,-4663,1,0,0,0,Core staff,4.0,-24.0,2.0
F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-24665,365243,1,0,0,0,,2.0,-35.0,2.0
F,Y,Y,0,130500.0,Working,Secondary / secondary special,Married,House / apartment,-16137,-9391,1,0,1,0,Laborers,2.0,-29.0,2.0
F,N,N,0,247500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-16306,-4904,1,1,1,0,Laborers,2.0,-55.0,2.0
F,N,Y,0,121500.0,Commercial associate,Secondary / secondary special,Married,Co-op apartment,-12017,-1711,1,0,1,0,Sales staff,2.0,-22.0,0.0
F,N,Y,0,103500.0,Commercial associate,Higher education,Civil marriage,With parents,-9088,-2174,1,0,0,0,,2.0,-43.0,2.0
F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21008,365243,1,0,0,0,,2.0,-16.0,2.0
F,N,N,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-11734,-2164,1,0,1,1,High skill tech staff,1.0,-25.0,2.0
F,N,N,1,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-18309,365243,1,0,0,0,,3.0,0.0,1.0
M,N,Y,0,148500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-11819,-962,1,0,0,0,Laborers,1.0,-3.0,1.0
F,N,Y,0,139500.0,Working,Secondary / secondary special,Married,House / apartment,-18730,-157,1,0,0,1,Cooking staff,2.0,-9.0,2.0
F,N,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-14360,-1565,1,0,0,0,Cleaning staff,4.0,-47.0,2.0
M,Y,N,2,427500.0,Commercial associate,Higher education,Married,House / apartment,-14561,-4745,1,0,1,0,,4.0,-48.0,2.0
F,Y,Y,0,126000.0,Working,Lower secondary,Married,With parents,-11719,-285,1,0,1,0,Core staff,2.0,-59.0,2.0
F,N,Y,1,247500.0,Commercial associate,Higher education,Married,House / apartment,-14371,-1325,1,0,0,1,Managers,3.0,-23.0,2.0
F,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15499,-869,1,0,0,0,Private service staff,2.0,-2.0,0.0
M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18173,-678,1,0,1,1,Core staff,3.0,-60.0,2.0
F,N,Y,0,247500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19366,-746,1,0,0,0,,2.0,-57.0,2.0
F,N,Y,1,157500.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-12676,-1350,1,0,0,0,Waiters/barmen staff,2.0,-23.0,1.0
M,N,N,1,225000.0,Commercial associate,Secondary / secondary special,Married,With parents,-17868,-1912,1,0,0,0,Drivers,3.0,-21.0,0.0
M,Y,N,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10866,-636,1,0,0,0,Drivers,1.0,-15.0,2.0
M,N,Y,2,450000.0,Commercial associate,Higher education,Married,House / apartment,-12238,-2187,1,1,1,0,Managers,4.0,-40.0,2.0
M,Y,Y,0,225000.0,Pensioner,Higher education,Married,House / apartment,-24166,365243,1,0,0,0,,2.0,-31.0,1.0
F,Y,Y,2,144000.0,Working,Higher education,Married,House / apartment,-14291,-532,1,0,0,1,Accountants,4.0,-25.0,2.0
F,N,N,0,72000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-18799,-1466,1,1,0,0,Cleaning staff,1.0,-2.0,1.0
F,Y,Y,2,126000.0,Working,Secondary / secondary special,Married,House / apartment,-14933,-107,1,0,0,0,Security staff,4.0,-20.0,2.0
F,N,Y,2,135000.0,Working,Incomplete higher,Married,House / apartment,-10598,-2175,1,0,0,1,Sales staff,4.0,-15.0,2.0
F,Y,N,0,38025.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20969,365243,1,0,1,0,,2.0,-59.0,2.0
