index,0,1,2
26457,0.02,0.01,0.97
26458,0.74,0.09,0.17
26459,0.08,0.02,0.9
26460,0.01,0.02,0.97
26461,0.045,0.56,0.395
26462,0.0,0.0,1.0
26463,0.84,0.11,0.05
26464,0.0,0.0,1.0
26465,0.04,0.15,0.81
26466,0.0,0.025,0.975
26467,0.02,0.02,0.96
26468,0.0,0.0,1.0
26469,1.0,0.0,0.0
26470,0.31,0.31,0.38
26471,0.0,0.045,0.955
26472,0.1,0.16,0.74
26473,0.02,0.06,0.92
26474,0.125,0.595,0.28
26475,0.6,0.255,0.145
26476,0.0,0.0,1.0
26477,0.0,0.15,0.85
26478,0.025,0.07,0.905
26479,0.06,0.01,0.93
26480,0.03,0.015,0.955
26481,0.01,0.66,0.33
26482,0.11,0.01,0.88
26483,0.0,0.09,0.91
26484,0.05333333333333333,0.16166666666666665,0.785
26485,0.01,0.01,0.98
26486,0.02,0.28,0.7
26487,0.075,0.095,0.83
26488,0.05,0.435,0.515
26489,0.0,0.29,0.71
26490,0.18,0.13,0.69
26491,0.0,0.0,1.0
26492,0.0,0.03,0.97
26493,1.0,0.0,0.0
26494,0.03,0.09,0.88
26495,0.0,0.05,0.95
26496,0.22666666666666666,0.013333333333333332,0.76
26497,0.0,0.96,0.04
26498,0.41,0.55,0.04
26499,0.0,0.09,0.91
26500,0.0,0.005,0.995
26501,0.07,0.45,0.48
26502,0.0,0.0,1.0
26503,0.2,0.7,0.1
26504,0.08,0.23,0.69
26505,0.02,0.09,0.89
26506,0.0,1.0,0.0
26507,0.01,0.36,0.63
26508,0.68,0.16,0.16
26509,0.13,0.06,0.81
26510,0.0,0.0,1.0
26511,0.0,0.01,0.99
26512,0.09,0.5266666666666666,0.3833333333333333
26513,0.0,0.0,1.0
26514,0.01,0.0,0.99
26515,0.0,0.0,1.0
26516,0.0,0.21,0.79
26517,0.15,0.33,0.52
26518,0.12,0.12,0.76
26519,1.0,0.0,0.0
26520,0.005,0.95,0.045
26521,0.0,0.0,1.0
26522,0.05333333333333334,0.29666666666666663,0.65
26523,0.03,0.25,0.72
26524,0.02,0.56,0.42
26525,0.22,0.05,0.73
26526,0.01,0.02,0.97
26527,0.0,0.95,0.05
26528,0.0,1.0,0.0
26529,0.79,0.02,0.19
26530,0.22,0.09,0.69
26531,0.0,0.0,1.0
26532,1.0,0.0,0.0
26533,0.03333333333333333,0.15,0.8166666666666668
26534,0.045,0.01,0.945
26535,0.005,0.015,0.98
26536,0.1,0.13,0.77
26537,0.0,0.0,1.0
26538,0.01,0.61,0.38
26539,0.0,0.07,0.93
26540,0.09,0.06,0.85
26541,0.0,0.0,1.0
26542,0.0,0.02,0.98
26543,0.0,0.0,1.0
26544,0.01,0.04,0.95
26545,0.0,0.0,1.0
26546,0.05,0.06,0.89
26547,0.0,0.0,1.0
26548,0.0,0.0,1.0
26549,0.125,0.875,0.0
26550,0.0,0.5,0.5
26551,0.0,1.0,0.0
26552,0.01,0.04,0.95
26553,0.0,0.0,1.0
26554,0.05,0.89,0.06
26555,0.0,0.0,1.0
26556,0.0,0.0,1.0
26557,0.035,0.01,0.955
26558,0.97,0.015,0.015
26559,0.29,0.0,0.71
26560,0.05,0.165,0.785
26561,0.0,0.0,1.0
26562,0.06,0.035,0.905
26563,0.05,0.03,0.92
26564,0.0,0.0,1.0
26565,0.0,1.0,0.0
26566,0.07,0.05,0.88
26567,0.05,0.01,0.94
26568,0.52,0.34,0.14
26569,0.01,0.09,0.9
26570,0.03,0.55,0.42
26571,0.01,0.07,0.92
26572,0.01,0.665,0.325
26573,0.11000000000000001,0.2900000000000001,0.6
26574,0.07,0.03,0.9
26575,0.04,0.04,0.92
26576,0.0,0.0,1.0
26577,0.07333333333333333,0.07,0.8566666666666666
26578,0.5,0.06,0.44
26579,0.09,0.54,0.37
26580,0.075,0.285,0.64
26581,0.0,0.115,0.885
26582,0.0,0.0,1.0
26583,0.03,0.04,0.93
26584,0.14,0.29,0.57
26585,0.0,0.88,0.12
26586,0.0,1.0,0.0
26587,0.03,0.89,0.08
26588,0.0,0.0,1.0
26589,0.0,0.0,1.0
26590,0.0,0.825,0.175
26591,0.16,0.39,0.45
26592,0.19,0.01,0.8
26593,0.66,0.34,0.0
26594,0.02,0.25,0.73
26595,0.0,0.0,1.0
26596,0.005,0.02,0.975
26597,0.06,0.7,0.24
26598,0.11,0.02,0.87
26599,0.0,0.0,1.0
26600,0.01,0.0,0.99
26601,0.13,0.29,0.58
26602,0.02,0.06,0.92
26603,0.0,0.12,0.88
26604,0.015,0.02,0.965
26605,0.15,0.17,0.68
26606,0.075,0.465,0.46
26607,0.0,1.0,0.0
26608,0.03,0.1,0.87
26609,0.0,0.0,1.0
26610,0.7,0.23,0.07
26611,0.0,0.26,0.74
26612,0.0,0.94,0.06
26613,0.02,0.11,0.87
26614,0.0,0.0,1.0
26615,0.155,0.12,0.725
26616,0.11,0.0,0.89
26617,0.085,0.12,0.795
26618,0.05,0.0,0.95
26619,0.04333333333333333,0.51,0.4466666666666667
26620,0.14,0.76,0.1
26621,0.0,0.02,0.98
26622,0.01,0.41,0.58
26623,0.0,0.96,0.04
26624,0.06,0.2,0.74
26625,0.46,0.31,0.23
26626,0.0,0.0,1.0
26627,0.045,0.005,0.95
26628,0.0,0.0,1.0
26629,0.0,0.0,1.0
26630,0.01,0.125,0.865
26631,0.0,0.0,1.0
26632,0.44,0.17,0.39
26633,0.045,0.005,0.95
26634,0.07,0.07,0.86
26635,0.035,0.05,0.915
26636,0.05,0.275,0.675
26637,0.0,0.0,1.0
26638,0.0,0.96,0.04
26639,0.445,0.3,0.255
26640,0.0,0.06,0.94
26641,0.0,0.785,0.215
26642,0.01,0.0,0.99
26643,0.22,0.05,0.73
26644,0.0,0.1,0.9
26645,0.01,0.0,0.99
26646,0.5,0.0,0.5
26647,0.04,0.08,0.88
26648,0.015,0.96,0.025
26649,0.2,0.02,0.78
26650,1.0,0.0,0.0
26651,0.03,0.97,0.0
26652,0.45,0.01,0.54
26653,0.0,0.0,1.0
26654,0.0,0.96,0.04
26655,0.04,0.23,0.73
26656,0.0,0.01,0.99
26657,0.27,0.26,0.47
26658,0.05,0.205,0.745
26659,0.265,0.24,0.495
26660,0.01,0.89,0.1
26661,0.02,0.0,0.98
26662,0.0,0.0,1.0
26663,0.08,0.58,0.34
26664,0.01,0.035,0.955
26665,0.0,1.0,0.0
26666,0.0,1.0,0.0
26667,0.0,0.0,1.0
26668,0.055,0.78,0.165
26669,0.0,0.46,0.54
26670,0.65,0.09,0.26
26671,0.07,0.02,0.91
26672,0.0,0.0,1.0
26673,0.21,0.49,0.3
26674,0.63,0.02,0.35
26675,0.05,0.055,0.895
26676,0.01,0.03,0.96
26677,0.015,0.04,0.945
26678,0.03,0.63,0.34
26679,0.43,0.1,0.47
26680,0.02,0.0,0.98
26681,0.105,0.05,0.845
26682,0.04,0.26,0.7
26683,0.01,0.3,0.69
26684,0.02,0.06,0.92
26685,0.355,0.08,0.565
26686,0.065,0.02,0.915
26687,0.12,0.04,0.84
26688,0.0,0.96,0.04
26689,0.01,0.355,0.635
26690,0.0,0.0,1.0
26691,0.0,0.0,1.0
26692,0.0,0.03,0.97
26693,0.0,0.01,0.99
26694,0.6666666666666659,0.3333333333333329,0.0
26695,0.02,0.105,0.875
26696,0.0,0.0,1.0
26697,0.02,0.01,0.97
26698,0.0,0.03,0.97
26699,0.09333333333333332,0.5083333333333333,0.3983333333333334
26700,0.0,0.96,0.04
26701,0.02,0.25,0.73
26702,0.15,0.23,0.62
26703,0.06,0.25,0.69
26704,0.0,0.02,0.98
26705,0.003333333333333333,0.06,0.9366666666666668
26706,0.05,0.04,0.91
26707,1.0,0.0,0.0
26708,0.0,0.13,0.87
26709,0.01,0.01,0.98
26710,0.43,0.33,0.24
26711,0.32,0.02,0.66
26712,0.0,0.0,1.0
26713,0.105,0.525,0.37
26714,0.065,0.17,0.765
26715,0.0,1.0,0.0
26716,0.0,1.0,0.0
26717,0.01,0.18,0.81
26718,0.025,0.09,0.885
26719,0.145,0.035,0.82
26720,0.38,0.04,0.58
26721,0.0,0.5,0.5
26722,0.66,0.0,0.34
26723,0.07333333333333333,0.075,0.8516666666666667
26724,0.05,0.59,0.36
26725,0.0,0.07,0.93
26726,0.0,1.0,0.0
26727,0.045,0.06,0.895
26728,0.03,0.35,0.62
26729,0.54,0.08,0.38
26730,0.0,0.0,1.0
26731,0.015,0.01,0.975
26732,0.53,0.275,0.195
26733,0.0,0.0,1.0
26734,0.01,0.0,0.99
26735,0.02,0.01,0.97
26736,0.0,0.68,0.32
26737,0.0,0.0,1.0
26738,0.01,0.02,0.97
26739,1.0,0.0,0.0
26740,0.02,0.04,0.94
26741,0.065,0.465,0.47
26742,0.08,0.02,0.9
26743,0.2,0.19,0.61
26744,0.02,0.0,0.98
26745,0.0,0.0,1.0
26746,0.78,0.025,0.195
26747,0.02,0.84,0.14
26748,0.0,1.0,0.0
26749,0.01,0.41,0.58
26750,0.015,0.28,0.705
26751,0.105,0.04,0.855
26752,0.0,1.0,0.0
26753,0.22333333333333336,0.06,0.7166666666666666
26754,0.0,0.0,1.0
26755,0.01,0.01,0.98
26756,0.01,0.02,0.97
26757,0.0,0.07,0.93
26758,0.8533333333333334,0.02333333333333333,0.12333333333333332
26759,0.015,0.2,0.785
26760,0.55,0.1,0.35
26761,0.0,0.0,1.0
26762,0.01,0.11,0.88
26763,0.06,0.06,0.88
26764,0.0,0.02,0.98
26765,0.0,0.0,1.0
26766,0.0,0.37,0.63
26767,0.03,0.255,0.715
26768,0.0,1.0,0.0
26769,0.22,0.23,0.55
26770,0.07,0.02,0.91
26771,0.03,0.97,0.0
26772,0.85,0.04,0.11
26773,0.14,0.23,0.63
