index,0,1,2
26457,0.0,0.02,0.98
26458,0.81,0.0,0.19
26459,0.08,0.0,0.92
26460,0.0,0.01,0.99
26461,0.03,0.7,0.27
26462,0.0,0.0,1.0
26463,0.79,0.17,0.04
26464,0.0,0.0,1.0
26465,0.03,0.095,0.875
26466,0.01,0.01,0.98
26467,0.01,0.0,0.99
26468,0.0,0.0,1.0
26469,1.0,0.0,0.0
26470,0.29,0.13,0.58
26471,0.02,0.085,0.895
26472,0.02,0.255,0.725
26473,0.0,0.02,0.98
26474,0.21,0.35,0.44
26475,0.785,0.14,0.075
26476,0.0,0.0,1.0
26477,0.03,0.07,0.9
26478,0.04,0.04,0.92
26479,0.01,0.01,0.98
26480,0.01,0.02,0.97
26481,0.0,0.76,0.24
26482,0.45,0.0,0.55
26483,0.0,0.15,0.85
26484,0.095,0.16,0.745
26485,0.0,0.01,0.99
26486,0.04,0.06,0.9
26487,0.09,0.065,0.845
26488,0.025,0.36,0.615
26489,0.0,0.34,0.66
26490,0.13,0.09,0.78
26491,0.0,0.0,1.0
26492,0.01,0.01,0.98
26493,1.0,0.0,0.0
26494,0.08,0.06,0.86
26495,0.02,0.06,0.92
26496,0.3833333333333333,0.04666666666666667,0.57
26497,0.01,0.97,0.02
26498,0.5,0.45,0.05
26499,0.005,0.18,0.815
26500,0.02,0.0,0.98
26501,0.09,0.45,0.46
26502,0.0,0.01,0.99
26503,0.12,0.77,0.11
26504,0.06,0.29,0.65
26505,0.0,0.06,0.94
26506,0.0,1.0,0.0
26507,0.0,0.32,0.68
26508,0.31,0.27,0.42
26509,0.09,0.05,0.86
26510,0.0,0.0,1.0
26511,0.0,0.01,0.99
26512,0.055,0.2766666666666666,0.6683333333333334
26513,0.0,0.0,1.0
26514,0.0,0.02,0.98
26515,0.0,0.0,1.0
26516,0.0,0.24,0.76
26517,0.2,0.43,0.37
26518,0.16,0.08,0.76
26519,1.0,0.0,0.0
26520,0.01,0.96,0.03
26521,0.0,0.0,1.0
26522,0.05,0.31,0.64
26523,0.205,0.17833333333333334,0.6166666666666667
26524,0.06,0.49,0.45
26525,0.2,0.06,0.74
26526,0.04,0.05,0.91
26527,0.01,0.93,0.06
26528,0.0,1.0,0.0
26529,0.91,0.01,0.08
26530,0.245,0.125,0.63
26531,0.0,0.0,1.0
26532,1.0,0.0,0.0
26533,0.02333333333333333,0.13,0.8466666666666667
26534,0.06,0.06,0.88
26535,0.01,0.02,0.97
26536,0.17,0.16,0.67
26537,0.0,0.0,1.0
26538,0.01,0.765,0.225
26539,0.0,0.03,0.97
26540,0.23,0.05,0.72
26541,0.0,0.0,1.0
26542,0.01,0.01,0.98
26543,0.0,0.0,1.0
26544,0.03,0.12,0.85
26545,0.01,0.11,0.88
26546,0.01,0.05,0.94
26547,0.01,0.03,0.96
26548,0.04,0.01,0.95
26549,0.02,0.98,0.0
26550,0.0,0.5,0.5
26551,0.0,1.0,0.0
26552,0.03,0.0,0.97
26553,0.0,0.0,1.0
26554,0.08,0.81,0.11
26555,0.0,0.0,1.0
26556,0.0,0.0,1.0
26557,0.06,0.01,0.93
26558,0.85,0.035,0.115
26559,0.25,0.01,0.74
26560,0.08,0.12,0.8
26561,0.0,0.0,1.0
26562,0.01,0.01,0.98
26563,0.055,0.035,0.91
26564,0.0,0.0,1.0
26565,0.0,1.0,0.0
26566,0.06,0.02,0.92
26567,0.11,0.01,0.88
26568,0.55,0.34,0.11
26569,0.0,0.12,0.88
26570,0.03,0.62,0.35
26571,0.06,0.205,0.735
26572,0.0,0.685,0.315
26573,0.1333333333333334,0.2766666666666667,0.59
26574,0.09,0.1,0.81
26575,0.02,0.01,0.97
26576,0.0,0.01,0.99
26577,0.075,0.23,0.695
26578,0.7,0.11,0.19
26579,0.135,0.44,0.425
26580,0.1,0.42,0.48
26581,0.02,0.165,0.815
26582,0.0,0.0,1.0
26583,0.02,0.05,0.93
26584,0.14,0.07,0.79
26585,0.0,0.95,0.05
26586,0.0,1.0,0.0
26587,0.005,0.97,0.025
26588,0.0,0.0,1.0
26589,0.0,0.0,1.0
26590,0.0,0.865,0.135
26591,0.18,0.495,0.325
26592,0.19,0.0,0.81
26593,0.13,0.74,0.13
26594,0.02,0.24,0.74
26595,0.0,0.0,1.0
26596,0.02,0.0,0.98
26597,0.08,0.83,0.09
26598,0.18,0.11,0.71
26599,0.0,0.0,1.0
26600,0.0,0.0,1.0
26601,0.035,0.36,0.605
26602,0.05,0.08,0.87
26603,0.02,0.07,0.91
26604,0.02,0.1,0.88
26605,0.02,0.07,0.91
26606,0.05,0.505,0.445
26607,0.0,1.0,0.0
26608,0.02,0.075,0.905
26609,0.01,0.0,0.99
26610,0.78,0.18,0.04
26611,0.0,0.25,0.75
26612,0.0,0.85,0.15
26613,0.05,0.07,0.88
26614,0.0,0.0,1.0
26615,0.09,0.155,0.755
26616,0.04,0.015,0.945
26617,0.06,0.14,0.8
26618,0.035,0.1,0.865
26619,0.18,0.35,0.47
26620,0.08,0.55,0.37
26621,0.0,0.01,0.99
26622,0.01,0.62,0.37
26623,0.0,0.98,0.02
26624,0.05,0.15,0.8
26625,0.5,0.165,0.335
26626,0.0,0.0,1.0
26627,0.01,0.015,0.975
26628,0.0,0.0,1.0
26629,0.0,0.0,1.0
26630,0.01,0.115,0.875
26631,0.0,0.0,1.0
26632,0.33,0.12,0.55
26633,0.045,0.055,0.9
26634,0.01,0.05,0.94
26635,0.01,0.02,0.97
26636,0.01,0.38,0.61
26637,0.0,0.0,1.0
26638,0.0,1.0,0.0
26639,0.625,0.12,0.255
26640,0.03,0.215,0.755
26641,0.0,0.865,0.135
26642,0.02,0.01,0.97
26643,0.09,0.03,0.88
26644,0.02,0.06,0.92
26645,0.02,0.04,0.94
26646,0.62,0.0,0.38
26647,0.05,0.04,0.91
26648,0.0,0.98,0.02
26649,0.11,0.02,0.87
26650,1.0,0.0,0.0
26651,0.08,0.92,0.0
26652,0.5,0.0,0.5
26653,0.02,0.01,0.97
26654,0.0,0.98,0.02
26655,0.045,0.46,0.495
26656,0.0,0.01,0.99
26657,0.195,0.11,0.695
26658,0.01,0.06,0.93
26659,0.185,0.37,0.445
26660,0.0,0.88,0.12
26661,0.01,0.0,0.99
26662,0.0,0.0,1.0
26663,0.11,0.59,0.3
26664,0.01,0.02,0.97
26665,0.0,1.0,0.0
26666,0.0,1.0,0.0
26667,0.0,0.0,1.0
26668,0.01,0.82,0.17
26669,0.0,0.455,0.545
26670,0.675,0.105,0.22
26671,0.05,0.03,0.92
26672,0.0,0.0,1.0
26673,0.3,0.215,0.485
26674,0.66,0.01,0.33
26675,0.06,0.1,0.84
26676,0.01,0.02,0.97
26677,0.005,0.07,0.925
26678,0.1,0.65,0.25
26679,0.39,0.1,0.51
26680,0.01,0.0,0.99
26681,0.065,0.2,0.735
26682,0.07,0.13,0.8
26683,0.0,0.31,0.69
26684,0.04,0.13,0.83
26685,0.245,0.16,0.595
26686,0.02,0.05,0.93
26687,0.05,0.23,0.72
26688,0.0,0.99,0.01
26689,0.04,0.245,0.715
26690,0.01,0.0,0.99
26691,0.0,0.0,1.0
26692,0.0,0.03,0.97
26693,0.0,0.01,0.99
26694,0.6666666666666659,0.3333333333333329,0.0
26695,0.015,0.035,0.95
26696,0.0,0.0,1.0
26697,0.02,0.01,0.97
26698,0.01,0.07,0.92
26699,0.25,0.38,0.37
26700,0.01,0.9,0.09
26701,0.08,0.24,0.68
26702,0.13,0.3,0.57
26703,0.01,0.13,0.86
26704,0.0,0.01,0.99
26705,0.0,0.03,0.97
26706,0.07,0.02,0.91
26707,1.0,0.0,0.0
26708,0.02,0.04,0.94
26709,0.02,0.0,0.98
26710,0.23,0.34,0.43
26711,0.42,0.04,0.54
26712,0.0,0.0,1.0
26713,0.065,0.66,0.275
26714,0.02,0.1,0.88
26715,0.0,1.0,0.0
26716,0.0,1.0,0.0
