index,0,1,2
26457,0.04,0.27,0.69
26458,0.5,0.16666666666666669,0.33333333333333326
26459,0.095,0.12,0.785
26460,0.045,0.05,0.905
26461,0.0875,0.28,0.6325
26462,0.004,0.04,0.956
26463,0.43333333333333335,0.4566666666666667,0.11
26464,0.03,0.02,0.95
26465,0.06,0.09333333333333332,0.8466666666666667
26466,0.01,0.3,0.69
26467,0.02,0.02,0.96
26468,0.01,0.04,0.95
26469,0.74,0.08,0.18
26470,0.12,0.245,0.635
26471,0.045,0.08583333333333334,0.8691666666666668
26472,0.04,0.14,0.82
26473,0.04333333333333333,0.04,0.9166666666666667
26474,0.27,0.69,0.04
26475,0.6333333333333333,0.18,0.18666666666666668
26476,0.04,0.05,0.91
26477,0.09383333333333332,0.035,0.8711666666666668
26478,0.05333333333333334,0.07,0.8766666666666666
26479,0.0,0.05,0.95
26480,0.025,0.02,0.955
26481,0.04,0.636,0.324
26482,0.44,0.0,0.56
26483,0.018333333333333333,0.28,0.7016666666666665
26484,0.09,0.14,0.77
26485,0.0,0.0,1.0
26486,0.04,0.09,0.87
26487,0.04,0.175,0.785
26488,0.04,0.81,0.15
26489,0.0,0.31,0.69
26490,0.07,0.1,0.83
26491,0.01,0.03,0.96
26492,0.05285714285714285,0.15,0.7971428571428573
26493,0.89,0.1,0.01
26494,0.17,0.16,0.67
26495,0.02,0.01,0.97
26496,0.2916666666666667,0.10833333333333332,0.6
26497,0.01,0.9,0.09
26498,0.26,0.66,0.08
26499,0.02,0.1433333333333333,0.8366666666666667
26500,0.01,0.37,0.62
26501,0.07,0.41600000000000004,0.514
26502,0.0,0.0,1.0
26503,0.11,0.67,0.22
26504,0.115,0.326,0.5589999999999999
26505,0.08,0.06,0.86
26506,0.08,0.855,0.065
26507,0.08,0.77,0.15
26508,0.15,0.33,0.52
26509,0.245,0.1725,0.5825
26510,0.01,0.1,0.89
26511,0.03,0.03,0.94
26512,0.11,0.2375,0.6525
26513,0.0,0.0225,0.9775
26514,0.02,0.02333333333333333,0.9566666666666666
26515,0.0775,0.0,0.9225
26516,0.01,0.31,0.68
26517,0.305,0.575,0.12
26518,0.05,0.19,0.76
26519,0.8216666666666668,0.05333333333333333,0.125
26520,0.0,0.96,0.04
26521,0.02,0.07,0.91
26522,0.1175,0.15,0.7325
26523,0.10333333333333333,0.2,0.6966666666666665
26524,0.16,0.245,0.595
26525,0.15333333333333332,0.15666666666666665,0.69
26526,0.03,0.03,0.94
26527,0.096,0.81,0.094
26528,0.13,0.86,0.01
26529,0.63,0.059333333333333335,0.31066666666666665
26530,0.11333333333333334,0.2475,0.6391666666666667
26531,0.0,0.0,1.0
26532,0.8,0.04,0.16
26533,0.096,0.24,0.664
26534,0.01,0.03,0.96
26535,0.03,0.03,0.94
26536,0.24,0.16476190476190475,0.5952380952380952
26537,0.04,0.05,0.91
26538,0.05,0.55,0.4
26539,0.0,0.06,0.94
26540,0.23,0.08,0.69
26541,0.03,0.01,0.96
26542,0.05,0.02,0.93
26543,0.01,0.04,0.95
26544,0.26,0.15666666666666668,0.5833333333333334
26545,0.055,0.125,0.82
26546,0.03,0.05,0.92
26547,0.0,0.01,0.99
26548,0.07,0.03,0.9
26549,0.19166666666666665,0.7583333333333334,0.05
26550,0.0,0.3886190476190477,0.6113809523809525
26551,0.0,0.6616666666666666,0.33833333333333326
26552,0.02,0.065,0.915
26553,0.0,0.05,0.95
26554,0.135,0.62,0.245
26555,0.05,0.01,0.94
26556,0.0,0.08,0.92
26557,0.02,0.05,0.93
26558,0.77,0.04,0.19
26559,0.26,0.01,0.73
26560,0.094,0.1025,0.8035
26561,0.04,0.02,0.94
26562,0.01,0.03,0.96
26563,0.04,0.06,0.9
26564,0.003333333333333333,0.11666666666666668,0.88
26565,0.01,0.865,0.125
26566,0.07,0.03,0.9
26567,0.06,0.07,0.87
26568,0.13,0.82,0.05
26569,0.02,0.08,0.9
26570,0.09,0.5116666666666667,0.39833333333333326
26571,0.05,0.145,0.805
26572,0.016666666666666666,0.4817857142857143,0.501547619047619
26573,0.21233333333333335,0.17266666666666666,0.615
26574,0.195,0.045,0.76
26575,0.13,0.1,0.77
26576,0.1,0.02,0.88
26577,0.21916666666666665,0.29833333333333334,0.4825
26578,0.38,0.18,0.44
26579,0.23,0.68,0.09
26580,0.05,0.18,0.77
26581,0.135,0.1733333333333333,0.6916666666666665
26582,0.0,0.0,1.0
26583,0.05,0.04,0.91
26584,0.17,0.19,0.64
26585,0.0,0.93,0.07
26586,0.23,0.64,0.13
26587,0.1,0.5858333333333333,0.3141666666666667
26588,0.005714285714285714,0.04,0.9542857142857143
26589,0.14,0.08,0.78
26590,0.01,0.8291666666666666,0.16083333333333336
26591,0.25,0.6725,0.0775
26592,0.23,0.05,0.72
26593,0.02,0.64,0.34
26594,0.04,0.19,0.77
26595,0.04,0.01,0.95
26596,0.045,0.08,0.875
26597,0.29,0.4,0.31
26598,0.15,0.08,0.77
26599,0.0,0.0325,0.9675
26600,0.0,0.0,1.0
26601,0.01,0.16,0.83
26602,0.01,0.12,0.87
26603,0.045,0.07,0.885
26604,0.03,0.09,0.88
26605,0.0,0.07,0.93
26606,0.07,0.45,0.48
26607,0.14,0.86,0.0
26608,0.016,0.09,0.894
26609,0.03,0.04,0.93
26610,0.29333333333333333,0.6266666666666666,0.08
26611,0.02,0.2,0.78
26612,0.016666666666666666,0.5273333333333333,0.456
26613,0.0125,0.18,0.8075
26614,0.0,0.09,0.91
26615,0.17,0.15,0.68
26616,0.057999999999999996,0.0,0.9420000000000001
26617,0.09,0.07,0.84
26618,0.08,0.07,0.85
26619,0.075,0.2733333333333334,0.6516666666666666
26620,0.2,0.74,0.06
26621,0.01,0.03,0.96
26622,0.09,0.46,0.45
26623,0.01,0.878,0.11199999999999999
26624,0.04,0.16,0.8
26625,0.83,0.09,0.08
26626,0.18,0.03,0.79
26627,0.03,0.015,0.955
26628,0.01,0.05,0.94
26629,0.01,0.035,0.955
26630,0.02,0.11666666666666665,0.8633333333333333
26631,0.0,0.01,0.99
26632,0.33,0.195,0.475
26633,0.07,0.07,0.86
26634,0.02,0.05,0.93
26635,0.05,0.32,0.63
26636,0.02,0.39033333333333337,0.5896666666666668
26637,0.0,0.0525,0.9475
26638,0.02,0.97,0.01
26639,0.485,0.33,0.185
26640,0.035,0.16,0.805
26641,0.09,0.9,0.01
26642,0.02,0.09166666666666667,0.8883333333333334
26643,0.06,0.1,0.84
26644,0.03,0.11333333333333333,0.8566666666666667
26645,0.0,0.04,0.96
26646,0.88,0.01,0.11
26647,0.07,0.02,0.91
26648,0.045,0.81,0.145
26649,0.06833333333333334,0.08,0.8516666666666666
26650,0.92,0.06,0.02
26651,0.17,0.8,0.03
26652,0.32,0.006666666666666666,0.6733333333333335
26653,0.0455,0.011166666666666667,0.9433333333333335
26654,0.03,0.83,0.14
26655,0.055,0.605,0.34
26656,0.045,0.04533333333333333,0.9096666666666667
26657,0.1,0.1975,0.7025
