송하인_격자공간고유번호,수하인_격자공간고유번호,물품_카테고리,repeat,cluster
5011000595017300,2871000192069300,67,5011000595017300_2871000192069300,0
4148000690043300,5011000264024400,34,4148000690043300_5011000264024400,2
5011000078068400,1120000007005400,27,5011000078068400_1120000007005400,0
4127100048006400,5011000587019400,17,4127100048006400_5011000587019400,2
5011000078068400,2823700010076300,27,5011000078068400_2823700010076300,0
5013000778073200,4159000114016400,27,5013000778073200_4159000114016400,0
5011000316024300,4827000369060200,51,5011000316024300_4827000369060200,0
5013000740006400,4111700017039400,27,5013000740006400_4111700017039400,0
4136000209094100,5013000823053400,57,4136000209094100_5013000823053400,2
5011000315056100,4127100026035200,27,5011000315056100_4127100026035200,0
5011000525070400,4119900016030200,27,5011000525070400_4119900016030200,0
5013000731055200,4111300020084100,27,5013000731055200_4111300020084100,0
4146300018047300,5011000263069100,56,4146300018047300_5011000263069100,2
5013000823047200,1156000002086300,27,5013000823047200_1156000002086300,0
5011000078068400,4717000827022100,27,5011000078068400_4717000827022100,0
5011000137030100,2915500021039400,27,5011000137030100_2915500021039400,0
4725000538021400,5011000596012200,17,4725000538021400_5011000596012200,0
4150000241045200,5013000127047200,5,4150000241045200_5013000127047200,2
5013000828084200,2818500009055200,27,5013000828084200_2818500009055200,0
5011000595017300,2729000009018200,67,5011000595017300_2729000009018200,0
5013000354052200,4711300748081300,27,5013000354052200_4711300748081300,0
5013000691060200,3020000163089400,27,5013000691060200_3020000163089400,0
5011000324090300,4423000431057300,66,5011000324090300_4423000431057300,0
5013000572007300,1117000003088100,27,5013000572007300_1117000003088100,0
5011000373048400,2818500026040300,66,5011000373048400_2818500026040300,0
5011000078068400,4139000018006100,27,5011000078068400_4139000018006100,0
5013000731055200,4817000323084100,27,5013000731055200_4817000323084100,0
5013000610049100,1111000026029200,27,5013000610049100_1111000026029200,0
5011000535028300,2914000006020300,27,5011000535028300_2914000006020300,0
5011000437099200,1129000021088200,27,5011000437099200_1129000021088200,0
5011000078068400,4115000039042300,27,5011000078068400_4115000039042300,0
5013000622057100,4223000021033400,27,5013000622057100_4223000021033400,0
5013000821028200,4874000124048200,27,5013000821028200_4874000124048200,0
5013000170064100,1126000003028400,3,5013000170064100_1126000003028400,0
5013000354052200,1162000002022400,27,5013000354052200_1162000002022400,0
5011000078068400,4127100055011300,27,5011000078068400_4127100055011300,0
5013000740006400,1147000004017400,27,5013000740006400_1147000004017400,0
5011000213090100,3611000092003200,27,5011000213090100_3611000092003200,0
4682000971004300,5011000533051300,54,4682000971004300_5011000533051300,0
5011000078068400,4128700035009100,27,5011000078068400_4128700035009100,0
5011000313069200,4371000372100400,80,5011000313069200_4371000372100400,0
5011000199044400,4213000256060100,27,5011000199044400_4213000256060100,0
5013000785045400,4213000279091100,27,5013000785045400_4213000279091100,0
5013000610049100,4113500010006300,27,5013000610049100_4113500010006300,0
5011000685067100,1150000030066300,27,5011000685067100_1150000030066300,0
5013000731055200,3014000012022100,27,5013000731055200_3014000012022100,0
4128500008095200,5011000263070200,3,4128500008095200_5011000263070200,2
5013000622057100,2635000059017200,27,5013000622057100_2635000059017200,0
5011000078068400,4812100196083300,27,5011000078068400_4812100196083300,0
5013000610049100,1150000016085200,27,5013000610049100_1150000016085200,0
5011000228004400,4159000599080400,5,5011000228004400_4159000599080400,0
2614000009036100,5011000431021100,27,2614000009036100_5011000431021100,3
3023000012008100,5011000169084300,5,3023000012008100_5011000169084300,3
5011000078068400,4111100020085400,27,5011000078068400_4111100020085400,0
5011001027036200,4521000303066100,27,5011001027036200_4521000303066100,0
5011001086004300,4139000118082300,27,5011001086004300_4139000118082300,0
5011000422097100,4822000241031400,27,5011000422097100_4822000241031400,0
4159000685057100,5011000215099200,97,4159000685057100_5011000215099200,2
4682000830009400,5013000862058100,27,4682000830009400_5013000862058100,0
2826000085023400,5011000317002400,5,2826000085023400_5011000317002400,3
5011000316024300,4514000396098400,51,5011000316024300_4514000396098400,0
5013000610049100,2820000035083300,27,5013000610049100_2820000035083300,0
5011000078068400,2823700010077300,27,5011000078068400_2823700010077300,0
5011000078068400,4221000014058400,27,5011000078068400_4221000014058400,0
4146300005091100,5011000320036300,14,4146300005091100_5011000320036300,2
4371000161085100,5011000373016400,69,4371000161085100_5011000373016400,2
5013000273039200,4681000232002300,27,5013000273039200_4681000232002300,0
3011000053088100,5011000314088200,15,3011000053088100_5011000314088200,3
5011000433043400,4127300065073100,41,5011000433043400_4127300065073100,0
4141000031030100,5011000370022100,6,4141000031030100_5011000370022100,2
5013000610049100,4136000282045400,27,5013000610049100_4136000282045400,0
5011000437099200,4311300074017300,27,5011000437099200_4311300074017300,0
4137000019060200,5011000173040100,35,4137000019060200_5011000173040100,2
5011000078068400,2917000094062400,27,5011000078068400_2917000094062400,0
4377000254047200,5013000396069300,16,4377000254047200_5013000396069300,2
5011000169080300,2635000046018100,66,5011000169080300_2635000046018100,0
5011000078068400,2729000019047100,27,5011000078068400_2729000019047100,0
5011000078068400,4511100059042100,27,5011000078068400_4511100059042100,0
4146100403068100,5011000219010300,41,4146100403068100_5011000219010300,2
5013000777063100,4145000006041300,27,5013000777063100_4145000006041300,0
5013000571005200,1135000016094200,27,5013000571005200_1135000016094200,0
5013000616057100,2771000078032200,27,5013000616057100_2771000078032200,0
4148000427007400,5011000429017300,81,4148000427007400_5011000429017300,2
5011000168079400,4613000265096400,51,5011000168079400_4613000265096400,0
5013000785045400,4183000779095200,27,5013000785045400_4183000779095200,0
5013000610049100,2811000052092400,27,5013000610049100_2811000052092400,0
5011000436041400,1168000025047300,27,5011000436041400_1168000025047300,0
5013000610049100,2626000004098300,27,5013000610049100_2626000004098300,0
