송하인_격자공간고유번호,수하인_격자공간고유번호,물품_카테고리,송하인_광역시,송하인_시군구,송하인_읍면동,송하인_리,송하인_기타,수하인_광역시,수하인_시군구,수하인_읍면동,수하인_리,수하인_기타
5011000595017300,2871000192069300,67,50,110,005,95,017300,28,710,001,92,069300
4148000690043300,5011000264024400,34,41,480,006,90,043300,50,110,002,64,024400
5011000078068400,1120000007005400,27,50,110,000,78,068400,11,200,000,07,005400
4127100048006400,5011000587019400,17,41,271,000,48,006400,50,110,005,87,019400
5011000078068400,2823700010076300,27,50,110,000,78,068400,28,237,000,10,076300
5013000778073200,4159000114016400,27,50,130,007,78,073200,41,590,001,14,016400
5011000316024300,4827000369060200,51,50,110,003,16,024300,48,270,003,69,060200
5013000740006400,4111700017039400,27,50,130,007,40,006400,41,117,000,17,039400
4136000209094100,5013000823053400,57,41,360,002,09,094100,50,130,008,23,053400
5011000315056100,4127100026035200,27,50,110,003,15,056100,41,271,000,26,035200
5011000525070400,4119900016030200,27,50,110,005,25,070400,41,199,000,16,030200
5013000731055200,4111300020084100,27,50,130,007,31,055200,41,113,000,20,084100
4146300018047300,5011000263069100,56,41,463,000,18,047300,50,110,002,63,069100
5013000823047200,1156000002086300,27,50,130,008,23,047200,11,560,000,02,086300
5011000078068400,4717000827022100,27,50,110,000,78,068400,47,170,008,27,022100
5011000137030100,2915500021039400,27,50,110,001,37,030100,29,155,000,21,039400
4725000538021400,5011000596012200,17,47,250,005,38,021400,50,110,005,96,012200
4150000241045200,5013000127047200,5,41,500,002,41,045200,50,130,001,27,047200
5013000828084200,2818500009055200,27,50,130,008,28,084200,28,185,000,09,055200
5011000595017300,2729000009018200,67,50,110,005,95,017300,27,290,000,09,018200
5013000354052200,4711300748081300,27,50,130,003,54,052200,47,113,007,48,081300
5013000691060200,3020000163089400,27,50,130,006,91,060200,30,200,001,63,089400
5011000324090300,4423000431057300,66,50,110,003,24,090300,44,230,004,31,057300
5013000572007300,1117000003088100,27,50,130,005,72,007300,11,170,000,03,088100
5011000373048400,2818500026040300,66,50,110,003,73,048400,28,185,000,26,040300
5011000078068400,4139000018006100,27,50,110,000,78,068400,41,390,000,18,006100
5013000731055200,4817000323084100,27,50,130,007,31,055200,48,170,003,23,084100
5013000610049100,1111000026029200,27,50,130,006,10,049100,11,110,000,26,029200
5011000535028300,2914000006020300,27,50,110,005,35,028300,29,140,000,06,020300
5011000437099200,1129000021088200,27,50,110,004,37,099200,11,290,000,21,088200
5011000078068400,4115000039042300,27,50,110,000,78,068400,41,150,000,39,042300
5013000622057100,4223000021033400,27,50,130,006,22,057100,42,230,000,21,033400
5013000821028200,4874000124048200,27,50,130,008,21,028200,48,740,001,24,048200
5013000170064100,1126000003028400,3,50,130,001,70,064100,11,260,000,03,028400
5013000354052200,1162000002022400,27,50,130,003,54,052200,11,620,000,02,022400
