송하인_격자공간고유번호,수하인_격자공간고유번호,물품_카테고리,송하인_광역시_시군구,수하인_광역시_시군구,카테고리_mean,카테고리_min,카테고리_max
5011000595017300,2871000192069300,67,50110,28710,4.092013888888889,3,48
4148000690043300,5011000264024400,34,41480,50110,4.976168652612282,3,118
5011000078068400,1120000007005400,27,50110,11200,4.322080606269377,3,179
4127100048006400,5011000587019400,17,41271,50110,6.088825214899713,3,108
5011000078068400,2823700010076300,27,50110,28237,4.322080606269377,3,179
5013000778073200,4159000114016400,27,50130,41590,4.322080606269377,3,179
5011000316024300,4827000369060200,51,50110,48270,5.674418604651163,3,68
5013000740006400,4111700017039400,27,50130,41117,4.322080606269377,3,179
4136000209094100,5013000823053400,57,41360,50130,3.529032258064516,3,10
5011000315056100,4127100026035200,27,50110,41271,4.322080606269377,3,179
5011000525070400,4119900016030200,27,50110,41199,4.322080606269377,3,179
5013000731055200,4111300020084100,27,50130,41113,4.322080606269377,3,179
4146300018047300,5011000263069100,56,41463,50110,9.1,3,197
5013000823047200,1156000002086300,27,50130,11560,4.322080606269377,3,179
5011000078068400,4717000827022100,27,50110,47170,4.322080606269377,3,179
5011000137030100,2915500021039400,27,50110,29155,4.322080606269377,3,179
4725000538021400,5011000596012200,17,47250,50110,6.088825214899713,3,108
4150000241045200,5013000127047200,5,41500,50130,5.774957698815567,3,93
5013000828084200,2818500009055200,27,50130,28185,4.322080606269377,3,179
5011000595017300,2729000009018200,67,50110,27290,4.092013888888889,3,48
5013000354052200,4711300748081300,27,50130,47113,4.322080606269377,3,179
5013000691060200,3020000163089400,27,50130,30200,4.322080606269377,3,179
5011000324090300,4423000431057300,66,50110,44230,5.696324951644101,3,105
5013000572007300,1117000003088100,27,50130,11170,4.322080606269377,3,179
5011000373048400,2818500026040300,66,50110,28185,5.696324951644101,3,105
5011000078068400,4139000018006100,27,50110,41390,4.322080606269377,3,179
5013000731055200,4817000323084100,27,50130,48170,4.322080606269377,3,179
5013000610049100,1111000026029200,27,50130,11110,4.322080606269377,3,179
5011000535028300,2914000006020300,27,50110,29140,4.322080606269377,3,179
5011000437099200,1129000021088200,27,50110,11290,4.322080606269377,3,179
5011000078068400,4115000039042300,27,50110,41150,4.322080606269377,3,179
5013000622057100,4223000021033400,27,50130,42230,4.322080606269377,3,179
5013000821028200,4874000124048200,27,50130,48740,4.322080606269377,3,179
5013000170064100,1126000003028400,3,50130,11260,6.815602836879433,3,122
5013000354052200,1162000002022400,27,50130,11620,4.322080606269377,3,179
5011000078068400,4127100055011300,27,50110,41271,4.322080606269377,3,179
5013000740006400,1147000004017400,27,50130,11470,4.322080606269377,3,179
5011000213090100,3611000092003200,27,50110,36110,4.322080606269377,3,179
4682000971004300,5011000533051300,54,46820,50110,5.219512195121951,3,56
5011000078068400,4128700035009100,27,50110,41287,4.322080606269377,3,179
5011000313069200,4371000372100400,80,50110,43710,8.838120104438643,3,150
5011000199044400,4213000256060100,27,50110,42130,4.322080606269377,3,179
5013000785045400,4213000279091100,27,50130,42130,4.322080606269377,3,179
5013000610049100,4113500010006300,27,50130,41135,4.322080606269377,3,179
5011000685067100,1150000030066300,27,50110,11500,4.322080606269377,3,179
5013000731055200,3014000012022100,27,50130,30140,4.322080606269377,3,179
4128500008095200,5011000263070200,3,41285,50110,6.815602836879433,3,122
5013000622057100,2635000059017200,27,50130,26350,4.322080606269377,3,179
5011000078068400,4812100196083300,27,50110,48121,4.322080606269377,3,179
