송하인_격자공간고유번호,수하인_격자공간고유번호,물품_카테고리,송하인_광역시_시군구,송하인_읍면동_리,송하인_기타,수하인_광역시_시군구,수하인_읍면동_리,수하인_기타,카테고리_mean,카테고리_min,카테고리_max
5011000595017300,2871000192069300,67,50110,00595,017300,28710,00192,069300,4.092013888888889,3,48
4148000690043300,5011000264024400,34,41480,00690,043300,50110,00264,024400,4.976168652612282,3,118
5011000078068400,1120000007005400,27,50110,00078,068400,11200,00007,005400,4.322080606269377,3,179
4127100048006400,5011000587019400,17,41271,00048,006400,50110,00587,019400,6.088825214899713,3,108
5011000078068400,2823700010076300,27,50110,00078,068400,28237,00010,076300,4.322080606269377,3,179
5013000778073200,4159000114016400,27,50130,00778,073200,41590,00114,016400,4.322080606269377,3,179
5011000316024300,4827000369060200,51,50110,00316,024300,48270,00369,060200,5.674418604651163,3,68
5013000740006400,4111700017039400,27,50130,00740,006400,41117,00017,039400,4.322080606269377,3,179
4136000209094100,5013000823053400,57,41360,00209,094100,50130,00823,053400,3.529032258064516,3,10
5011000315056100,4127100026035200,27,50110,00315,056100,41271,00026,035200,4.322080606269377,3,179
5011000525070400,4119900016030200,27,50110,00525,070400,41199,00016,030200,4.322080606269377,3,179
5013000731055200,4111300020084100,27,50130,00731,055200,41113,00020,084100,4.322080606269377,3,179
4146300018047300,5011000263069100,56,41463,00018,047300,50110,00263,069100,9.1,3,197
5013000823047200,1156000002086300,27,50130,00823,047200,11560,00002,086300,4.322080606269377,3,179
5011000078068400,4717000827022100,27,50110,00078,068400,47170,00827,022100,4.322080606269377,3,179
5011000137030100,2915500021039400,27,50110,00137,030100,29155,00021,039400,4.322080606269377,3,179
4725000538021400,5011000596012200,17,47250,00538,021400,50110,00596,012200,6.088825214899713,3,108
4150000241045200,5013000127047200,5,41500,00241,045200,50130,00127,047200,5.774957698815567,3,93
5013000828084200,2818500009055200,27,50130,00828,084200,28185,00009,055200,4.322080606269377,3,179
5011000595017300,2729000009018200,67,50110,00595,017300,27290,00009,018200,4.092013888888889,3,48
5013000354052200,4711300748081300,27,50130,00354,052200,47113,00748,081300,4.322080606269377,3,179
5013000691060200,3020000163089400,27,50130,00691,060200,30200,00163,089400,4.322080606269377,3,179
5011000324090300,4423000431057300,66,50110,00324,090300,44230,00431,057300,5.696324951644101,3,105
5013000572007300,1117000003088100,27,50130,00572,007300,11170,00003,088100,4.322080606269377,3,179
5011000373048400,2818500026040300,66,50110,00373,048400,28185,00026,040300,5.696324951644101,3,105
5011000078068400,4139000018006100,27,50110,00078,068400,41390,00018,006100,4.322080606269377,3,179
5013000731055200,4817000323084100,27,50130,00731,055200,48170,00323,084100,4.322080606269377,3,179
5013000610049100,1111000026029200,27,50130,00610,049100,11110,00026,029200,4.322080606269377,3,179
5011000535028300,2914000006020300,27,50110,00535,028300,29140,00006,020300,4.322080606269377,3,179
5011000437099200,1129000021088200,27,50110,00437,099200,11290,00021,088200,4.322080606269377,3,179
5011000078068400,4115000039042300,27,50110,00078,068400,41150,00039,042300,4.322080606269377,3,179
5013000622057100,4223000021033400,27,50130,00622,057100,42230,00021,033400,4.322080606269377,3,179
5013000821028200,4874000124048200,27,50130,00821,028200,48740,00124,048200,4.322080606269377,3,179
5013000170064100,1126000003028400,3,50130,00170,064100,11260,00003,028400,6.815602836879433,3,122
5013000354052200,1162000002022400,27,50130,00354,052200,11620,00002,022400,4.322080606269377,3,179
5011000078068400,4127100055011300,27,50110,00078,068400,41271,00055,011300,4.322080606269377,3,179
5013000740006400,1147000004017400,27,50130,00740,006400,11470,00004,017400,4.322080606269377,3,179
5011000213090100,3611000092003200,27,50110,00213,090100,36110,00092,003200,4.322080606269377,3,179
4682000971004300,5011000533051300,54,46820,00971,004300,50110,00533,051300,5.219512195121951,3,56
5011000078068400,4128700035009100,27,50110,00078,068400,41287,00035,009100,4.322080606269377,3,179
5011000313069200,4371000372100400,80,50110,00313,069200,43710,00372,100400,8.838120104438643,3,150
5011000199044400,4213000256060100,27,50110,00199,044400,42130,00256,060100,4.322080606269377,3,179
5013000785045400,4213000279091100,27,50130,00785,045400,42130,00279,091100,4.322080606269377,3,179
5013000610049100,4113500010006300,27,50130,00610,049100,41135,00010,006300,4.322080606269377,3,179
5011000685067100,1150000030066300,27,50110,00685,067100,11500,00030,066300,4.322080606269377,3,179
5013000731055200,3014000012022100,27,50130,00731,055200,30140,00012,022100,4.322080606269377,3,179
4128500008095200,5011000263070200,3,41285,00008,095200,50110,00263,070200,6.815602836879433,3,122
5013000622057100,2635000059017200,27,50130,00622,057100,26350,00059,017200,4.322080606269377,3,179
5011000078068400,4812100196083300,27,50110,00078,068400,48121,00196,083300,4.322080606269377,3,179
5013000610049100,1150000016085200,27,50130,00610,049100,11500,00016,085200,4.322080606269377,3,179
5011000228004400,4159000599080400,5,50110,00228,004400,41590,00599,080400,5.774957698815567,3,93
2614000009036100,5011000431021100,27,26140,00009,036100,50110,00431,021100,4.322080606269377,3,179
3023000012008100,5011000169084300,5,30230,00012,008100,50110,00169,084300,5.774957698815567,3,93
5011000078068400,4111100020085400,27,50110,00078,068400,41111,00020,085400,4.322080606269377,3,179
5011001027036200,4521000303066100,27,50110,01027,036200,45210,00303,066100,4.322080606269377,3,179
5011001086004300,4139000118082300,27,50110,01086,004300,41390,00118,082300,4.322080606269377,3,179
5011000422097100,4822000241031400,27,50110,00422,097100,48220,00241,031400,4.322080606269377,3,179
4159000685057100,5011000215099200,97,41590,00685,057100,50110,00215,099200,5.217391304347826,3,27
4682000830009400,5013000862058100,27,46820,00830,009400,50130,00862,058100,4.322080606269377,3,179
2826000085023400,5011000317002400,5,28260,00085,023400,50110,00317,002400,5.774957698815567,3,93
5011000316024300,4514000396098400,51,50110,00316,024300,45140,00396,098400,5.674418604651163,3,68
5013000610049100,2820000035083300,27,50130,00610,049100,28200,00035,083300,4.322080606269377,3,179
5011000078068400,2823700010077300,27,50110,00078,068400,28237,00010,077300,4.322080606269377,3,179
5011000078068400,4221000014058400,27,50110,00078,068400,42210,00014,058400,4.322080606269377,3,179
4146300005091100,5011000320036300,14,41463,00005,091100,50110,00320,036300,5.469230769230769,3,120
4371000161085100,5011000373016400,69,43710,00161,085100,50110,00373,016400,9.658536585365853,3,77
5013000273039200,4681000232002300,27,50130,00273,039200,46810,00232,002300,4.322080606269377,3,179
3011000053088100,5011000314088200,15,30110,00053,088100,50110,00314,088200,6.840909090909091,3,103
5011000433043400,4127300065073100,41,50110,00433,043400,41273,00065,073100,3.707482993197279,3,25
4141000031030100,5011000370022100,6,41410,00031,030100,50110,00370,022100,9.592592592592593,3,130
5013000610049100,4136000282045400,27,50130,00610,049100,41360,00282,045400,4.322080606269377,3,179
5011000437099200,4311300074017300,27,50110,00437,099200,43113,00074,017300,4.322080606269377,3,179
4137000019060200,5011000173040100,35,41370,00019,060200,50110,00173,040100,4.785714285714286,3,16
5011000078068400,2917000094062400,27,50110,00078,068400,29170,00094,062400,4.322080606269377,3,179
4377000254047200,5013000396069300,16,43770,00254,047200,50130,00396,069300,4.833333333333333,3,15
5011000169080300,2635000046018100,66,50110,00169,080300,26350,00046,018100,5.696324951644101,3,105
5011000078068400,2729000019047100,27,50110,00078,068400,27290,00019,047100,4.322080606269377,3,179
5011000078068400,4511100059042100,27,50110,00078,068400,45111,00059,042100,4.322080606269377,3,179
4146100403068100,5011000219010300,41,41461,00403,068100,50110,00219,010300,3.707482993197279,3,25
5013000777063100,4145000006041300,27,50130,00777,063100,41450,00006,041300,4.322080606269377,3,179
5013000571005200,1135000016094200,27,50130,00571,005200,11350,00016,094200,4.322080606269377,3,179
5013000616057100,2771000078032200,27,50130,00616,057100,27710,00078,032200,4.322080606269377,3,179
4148000427007400,5011000429017300,81,41480,00427,007400,50110,00429,017300,3.3333333333333335,3,4
5011000168079400,4613000265096400,51,50110,00168,079400,46130,00265,096400,5.674418604651163,3,68
5013000785045400,4183000779095200,27,50130,00785,045400,41830,00779,095200,4.322080606269377,3,179
5013000610049100,2811000052092400,27,50130,00610,049100,28110,00052,092400,4.322080606269377,3,179
5011000436041400,1168000025047300,27,50110,00436,041400,11680,00025,047300,4.322080606269377,3,179
5013000610049100,2626000004098300,27,50130,00610,049100,26260,00004,098300,4.322080606269377,3,179
5013000863096300,4311100012003100,27,50130,00863,096300,43111,00012,003100,4.322080606269377,3,179
5011000326012100,4128500032092300,27,50110,00326,012100,41285,00032,092300,4.322080606269377,3,179
5013000616057100,4281001185013300,27,50130,00616,057100,42810,01185,013300,4.322080606269377,3,179
5013000617099100,2820000042077200,27,50130,00617,099100,28200,00042,077200,4.322080606269377,3,179
5013000821028200,1168000013007400,27,50130,00821,028200,11680,00013,007400,4.322080606269377,3,179
4141000031030100,5011000594035200,54,41410,00031,030100,50110,00594,035200,5.219512195121951,3,56
5011000767075300,1154500001048400,80,50110,00767,075300,11545,00001,048400,8.838120104438643,3,150
5013000817046300,1126000015056200,27,50130,00817,046300,11260,00015,056200,4.322080606269377,3,179
5011000078068400,4119700009053300,27,50110,00078,068400,41197,00009,053300,4.322080606269377,3,179
5011000262035400,4139000087004100,17,50110,00262,035400,41390,00087,004100,6.088825214899713,3,108
5011000078068400,4146300029038400,27,50110,00078,068400,41463,00029,038400,4.322080606269377,3,179
