index,운송장_건수
0,3.763004578754579
1,5.285498933376726
2,5.22656877275943
3,4.571259952344142
4,3.8234655994332964
5,5.2768106338106335
6,4.2654705537688535
7,4.614365026761211
8,4.421501678191119
9,5.142327353202352
10,3.854500137065865
11,3.950621603919733
12,8.37221867021867
13,3.321109816877852
14,4.915155216837744
15,4.677051668054831
16,4.680908611254587
17,4.042015156084714
18,3.76501995762522
19,4.78366132585181
20,4.615763458763459
21,4.58665001177397
22,3.362036023622713
23,4.022173207082035
24,4.231584077687018
25,5.162370037847314
26,4.945613231797442
27,4.174512525348686
28,3.5529921740395207
29,4.706602776984097
30,23.479464087383214
31,7.4376158563658565
32,4.293522945827981
33,4.174512525348686
34,3.8741642110750183
35,4.697300801537644
36,4.361159634731642
37,4.312064951347271
38,5.109466602111338
39,13.196263100075026
40,4.596418608953826
41,3.8125574405182068
42,4.101202344439187
43,4.772123605378887
44,6.141046234810941
45,4.8330561921738395
46,5.563902470147298
47,4.680908611254587
48,18.920933663558667
49,4.719531481676219
50,5.035574812442458
51,5.109820207570206
52,11.928074509409464
53,5.162370037847314
54,4.470603646353648
55,4.102651485769133
56,4.807262748567528
57,3.961044989599324
58,6.2361779609279635
59,3.964753689121336
60,9.161858505701383
61,3.553695093269901
62,4.88788911088911
63,3.740946338021824
64,5.268456543456544
65,5.637672541510778
66,13.27349213286713
67,5.070698246198247
68,4.785166444666445
69,5.1646635173226665
70,4.778276610773329
71,9.470387140637138
72,4.350063179563626
73,5.608424367299368
74,3.8125574405182068
75,10.404845820845821
76,5.023166958041958
77,3.854500137065865
78,3.4102699630591813
79,4.555772394272394
80,3.9989787237956125
81,3.1980112115696486
82,4.69890409237963
83,4.712383130363088
84,3.8494515892174572
85,6.32887862137862
86,11.232163336663337
87,3.6235580379024332
88,6.070759419545023
89,5.013305857174413
90,4.603618882751236
91,8.669926251852722
92,3.774998760269657
93,9.999526738812238
94,4.102651485769133
95,4.792775695326841
96,4.62918097989392
97,6.110153991494535
98,4.316675019425021
99,7.773838453213455
100,4.020244966265243
101,4.912329353538332
102,4.794167924779101
103,3.1117643467643465
104,5.344491022198728
105,5.1279355115988245
106,10.499372348239996
107,4.280956522475903
108,5.344491022198728
109,3.318915634471345
110,3.6834804706719075
111,3.648340792064068
112,8.344832061997776
113,13.223552057763365
114,4.924654224195546
115,7.266028694594394
116,5.744869656292869
117,3.2989998030044183
118,3.3370474361282936
119,9.748600399600402
120,3.2989998030044183
121,3.776942461799562
122,4.511864313275304
123,8.2040337063679
124,6.221871299259835
125,3.8272236457999833
126,8.517120263723205
127,3.382580168928079
128,4.356711160571454
129,3.7614350153611658
130,3.724068280542564
131,3.9244952631647667
132,3.996329081863642
133,3.7206721744249904
134,8.38680658393894
135,4.267970466564739
136,3.386392805251164
137,3.5972739360567427
138,5.764498334998334
139,3.916275611286082
140,6.0384538434749695
141,3.921745244779301
142,4.927464355032079
143,4.176605416444581
144,3.5805830444065743
145,3.3225882209946422
146,3.1994492041628355
147,5.786960641290352
148,3.563079944826553
149,3.7020526973026957
150,3.9618826848596966
151,3.9615623745449597
152,3.5532475705551807
153,3.9827156042132414
154,3.707363675797887
155,3.397429255721322
156,6.383090621323982
157,4.500859299889333
158,6.141904145690912
159,7.069822081513257
160,3.9665604449543066
161,4.046221902848501
162,3.89319089387266
163,6.369733007489591
164,3.7593999862715375
165,3.8254156311524743
166,3.0925977462518315
167,4.243546123263124
168,3.433490607431784
169,3.2089901382276946
170,3.2506054269992277
171,7.536227879344677
172,3.2463902252718055
173,4.086688840268628
174,4.058415732754254
175,4.824392976837031
176,4.097779435433846
177,4.676687134192889
178,3.7915470931917525
179,4.018267565767568
180,3.6459923132423135
181,3.3697721984360327
182,3.4619483016983015
183,6.9050318015318
184,3.839519103445574
185,3.2089901382276946
186,3.532974486625696
187,5.003541873159519
188,3.1478208825345293
189,3.8478902188741495
190,3.419582576779946
191,3.6605349253204844
192,4.011054352080668
193,3.0963833943833947
194,3.847940357028593
195,4.7470839030250795
196,4.782101370851372
197,3.5283660199202926
198,7.131957847707846
199,3.546425328335533
200,3.397429255721322
201,5.634215090465091
202,6.07018686868687
203,6.466173161805513
204,3.9442139876900866
205,5.4868886946386946
206,3.4894090955065113
207,3.0
208,3.5488811134257428
209,3.7244734775028885
210,4.36833226697623
211,5.045876494850179
212,3.9442139876900866
213,3.319380627070795
214,6.948255170385572
215,4.347480963694625
216,9.32244710844711
217,3.9618826848596966
218,4.452723553407377
219,3.9221314842170414
220,3.524798434657878
221,3.661821074728719
222,3.587214285714286
223,5.095309945609947
224,3.9769340241459123
225,4.711211279761352
226,3.5535282696458417
227,3.645911212626384
228,3.65592187727375
229,4.582633208294974
230,3.444738537270002
231,3.8281085352331825
232,3.0558766233766232
233,3.9898201977662353
234,3.8494515892174572
235,9.001847763347762
236,3.6678724239774216
237,4.792775695326841
238,4.277844731884925
239,7.119897037023197
240,6.0086894811486715
241,4.570992619932138
242,3.75226666566929
243,4.046216099646826
244,3.5728159861105397
245,3.901615596699788
246,3.8478902188741495
247,3.5487986226736217
248,3.3601148034509247
249,6.837075769367602
250,3.5297943920544537
251,5.532794894961093
252,3.359425044400045
253,3.7554815369746843
254,6.179416119011705
255,3.5772402425897463
256,3.1707707015207007
257,7.368045240779882
258,6.222296082880274
259,3.8756505081644166
260,4.915005869130869
261,4.204043920002847
262,6.520165184273928
263,3.440575987615432
264,4.992030608280609
265,4.905635864601724
266,4.840785597409126
267,3.65592187727375
268,3.7558700244200254
269,3.9665604449543066
270,3.812531380556149
271,3.2089901382276946
272,3.4171560616442465
273,4.4221587199761245
274,3.4155450782392056
275,6.6919141806747
276,5.836476933042877
277,3.488657954790309
278,5.639336885336886
279,3.75265195667541
280,3.9811059707234624
281,3.246490647939952
282,7.343355755355755
283,5.633339971071239
284,4.7712825393560685
285,8.396930735200472
286,3.48248197865983
287,4.289177778662312
288,3.4453456748864655
289,3.220778509888804
290,3.5797750590912347
291,3.578743811743812
292,9.797191558583505
293,3.718861545183551
294,3.6324104911630166
295,4.925492522503072
296,4.474067904317904
297,4.0205877671995
298,4.417258987744281
299,3.314951391097191
300,4.484887238243726
301,4.095965702714131
302,4.033801296742473
303,3.598236571299072
304,5.250304448031639
305,4.239399560475176
306,3.0
307,3.4900361077796616
308,4.523211214186336
309,4.177968022205394
310,4.058471878003793
311,4.0936989052294805
312,4.995568913113031
313,5.218528146012241
314,4.01212820676056
315,3.4624301388444785
316,4.6270791594026885
317,8.486024219739905
318,4.753494791705654
319,8.486024219739905
