iter	RMSE
0	106.8408688
1	104.8520199
2	102.8459084
3	100.9423091
4	99.30125795
5	97.7282573
6	96.0317477
7	94.50339586
8	93.08548873
9	91.73941349
10	90.35989353
11	89.14137613
12	87.99527792
13	86.78695759
14	85.70449145
15	84.58528413
16	83.66123422
17	82.68900803
18	81.73907067
19	80.66964056
20	79.86585629
21	78.96897384
22	78.11859735
23	77.36182035
24	76.88988897
25	76.08693532
26	75.40748007
27	74.66415643
28	73.96497821
29	73.32477064
30	72.59258665
31	71.95513351
32	71.30115105
33	70.77378976
34	70.2328982
35	69.76682758
36	69.33826301
37	68.8450249
38	68.36714787
39	67.8212733
40	67.30293816
41	66.95607986
42	66.58418283
43	66.09807544
44	65.6735179
45	65.30443955
46	64.96419762
47	64.65856884
48	64.29453976
49	63.95268889
50	63.62218632
51	63.32279991
52	63.04901928
53	62.76195244
54	62.48437836
55	62.15739439
56	61.87741821
57	61.596907
58	61.34935302
59	61.05428067
60	60.74912426
61	60.55347116
62	60.27952981
63	59.9844607
64	59.72673475
65	59.49807389
66	59.2763203
67	59.01796764
68	58.78602749
69	58.59105672
70	58.36632524
71	58.14477648
72	57.91888986
73	57.73580844
74	57.55358905
75	57.34015406
76	57.14610097
77	56.95940361
78	56.77590991
79	56.56350899
80	56.36313531
81	56.17467905
82	56.00679938
83	55.81715422
84	55.63131737
85	55.48738451
86	55.32420217
87	55.1705828
88	55.03765427
89	54.90673635
90	54.75927808
91	54.65692159
92	54.56146396
93	54.42948653
94	54.31720537
95	54.1591426
96	54.04905568
97	53.97075072
98	53.82825765
99	53.73237356
100	53.64626385
101	53.52645947
102	53.36567423
103	53.24190964
104	53.1729333
105	53.05700782
106	52.94012292
107	52.78364851
108	52.65422286
109	52.56051792
110	52.48399966
111	52.36707629
112	52.27180399
113	52.15719302
114	52.04665968
115	51.90328326
116	51.81264841
117	51.75483641
118	51.66631097
119	51.59719121
120	51.53010809
121	51.45143783
122	51.39835569
123	51.2888021
124	51.21716614
125	51.07763551
126	50.99279579
127	50.91945043
128	50.84324253
129	50.7309808
130	50.62021314
131	50.53375892
132	50.49924539
133	50.41968093
134	50.31681616
135	50.23402274
136	50.15836327
137	50.08423671
138	50.01309443
139	49.8981732
140	49.84096996
141	49.79852826
142	49.71456893
143	49.64452024
144	49.58295506
145	49.51377368
146	49.43521201
147	49.37152844
148	49.28518703
149	49.18067381
150	49.10652308
151	49.0452002
152	48.97270437
153	48.89098974
154	48.83500384
155	48.75319177
156	48.70991171
157	48.62421652
158	48.59497279
159	48.54415726
160	48.49275356
161	48.44259456
162	48.39527671
163	48.33181659
164	48.27140817
165	48.21407835
166	48.11918801
167	48.03776253
168	47.96779483
169	47.87942565
170	47.79202302
171	47.70632259
172	47.6471914
173	47.59345113
174	47.5446388
175	47.47716925
176	47.43294187
177	47.35055848
178	47.27931421
179	47.24368927
180	47.20455208
181	47.15065899
182	47.07387187
183	47.01129151
184	46.9614073
185	46.88987026
186	46.82961066
187	46.77526379
188	46.68889994
189	46.5809215
190	46.53854799
191	46.48462778
192	46.38948837
193	46.31422933
194	46.22866526
195	46.18264884
196	46.11331812
197	46.08341151
198	46.04696351
199	45.98113492
200	45.91994007
201	45.8970363
202	45.84374316
203	45.80646452
204	45.74231302
205	45.68503583
206	45.58749153
207	45.52271937
208	45.45522558
209	45.37170711
210	45.31527334
211	45.2858674
212	45.23055841
213	45.19117976
214	45.13167177
215	45.06629571
216	45.00446936
217	44.92879024
218	44.89379321
219	44.82330773
220	44.77530148
221	44.72580781
222	44.63870598
223	44.56453378
224	44.54094588
225	44.48904372
226	44.44793359
227	44.36600379
228	44.31926624
229	44.240877
230	44.21509248
231	44.18461616
232	44.12478449
233	44.08821433
234	44.05089933
235	43.99780004
236	43.94652064
237	43.89213653
238	43.84581661
239	43.78858753
240	43.69166464
241	43.65529193
242	43.57748469
243	43.51635192
244	43.45635719
245	43.42402467
246	43.38050932
247	43.34176707
248	43.2558096
249	43.22921191
250	43.17842758
251	43.1345191
252	43.06708667
253	43.00964251
254	42.97301325
255	42.94929389
256	42.90470445
257	42.87965693
258	42.79648629
259	42.72956465
260	42.66326987
261	42.60811689
262	42.56494819
263	42.51862985
264	42.49323895
265	42.44324554
266	42.34376939
267	42.32731567
268	42.25866712
269	42.19982854
270	42.15008205
271	42.10045095
272	42.04129265
273	41.99722525
274	41.97103174
275	41.90663337
276	41.83967497
277	41.81324494
278	41.76036887
279	41.71655617
280	41.66285008
281	41.59623478
282	41.54020322
283	41.49208078
284	41.43041719
285	41.38102269
286	41.33533146
287	41.2922068
288	41.26372111
289	41.19001884
290	41.12047531
291	41.08019131
292	41.02749108
293	41.00671535
294	40.96605038
295	40.91547515
296	40.875228
297	40.85456225
298	40.79846756
299	40.75586622
300	40.72402523
301	40.68209198
302	40.62148955
303	40.57409486
304	40.48896472
305	40.46020247
306	40.39267876
307	40.33135093
308	40.28410793
309	40.2809841
310	40.22219992
311	40.15674952
312	40.09967293
313	40.07616956
314	40.02442577
315	39.96484797
316	39.91247043
317	39.8425013
318	39.76828847
319	39.75069537
320	39.67378736
321	39.59753937
322	39.57728777
323	39.55560456
324	39.50624099
325	39.46636556
326	39.43268763
327	39.38144592
328	39.34508128
329	39.30841234
330	39.27763982
331	39.23375865
332	39.17014532
333	39.11965013
334	39.09646136
335	39.06128654
336	39.02833623
337	38.97648339
338	38.93010321
339	38.8849694
340	38.84445819
341	38.79244691
342	38.77454088
343	38.76272103
344	38.72544659
345	38.68784916
346	38.67280843
347	38.66221618
348	38.58822789
349	38.54412321
350	38.49075148
351	38.45689199
352	38.4273668
353	38.35143891
354	38.29449128
355	38.28253201
356	38.23094576
357	38.21706508
358	38.20606959
359	38.188922
360	38.16003348
361	38.0926256
362	38.08294939
363	38.03652406
364	37.97846404
365	37.90276628
366	37.85132593
367	37.79575688
368	37.75027981
369	37.71345896
370	37.6763075
371	37.6444062
372	37.61139063
373	37.55725566
374	37.51873581
375	37.49336635
376	37.46120921
377	37.39304109
378	37.39006592
379	37.38217346
380	37.32924569
381	37.2900699
382	37.21791341
383	37.15727106
384	37.13254366
385	37.11739811
386	37.08374238
387	37.0673939
388	37.03412849
389	37.00090942
390	36.95741246
391	36.9234786
392	36.86962787
393	36.85302947
394	36.83515178
395	36.80233464
396	36.75834736
397	36.70000493
398	36.66126799
399	36.61862017
400	36.60552191
401	36.55546501
402	36.51483523
403	36.49456692
404	36.45783035
405	36.4125891
406	36.40223521
407	36.33565947
408	36.3043609
409	36.27174103
410	36.26553186
411	36.22519111
412	36.19388806
413	36.12632002
414	36.07739728
415	36.0539407
416	36.02087743
417	36.00363391
418	35.96943267
419	35.9529232
420	35.90784696
421	35.88080287
422	35.84223197
423	35.80355758
424	35.76847778
425	35.72322005
426	35.67949741
427	35.65437389
428	35.59806201
429	35.55552063
430	35.52413913
431	35.49226375
432	35.46472725
433	35.41569564
434	35.37804199
435	35.3475521
436	35.30231003
437	35.25075824
438	35.21950888
439	35.2040414
440	35.15385664
441	35.12912808
442	35.09782317
443	35.07910497
444	35.03409539
445	34.97211626
446	34.96792599
447	34.92431349
448	34.89211388
449	34.86728061
450	34.80741366
451	34.75788276
452	34.73670762
453	34.69428951
454	34.64042303
455	34.61831969
456	34.61025673
457	34.55994034
458	34.50518345
459	34.47393214
460	34.45275563
461	34.4392345
462	34.41144995
463	34.39729247
464	34.38165964
465	34.35512828
466	34.33161509
467	34.30160507
468	34.25812052
469	34.23629242
470	34.21451773
471	34.16886855
472	34.14336948
473	34.10547177
474	34.05244024
475	34.0022054
476	33.97782784
477	33.94818247
478	33.90976161
479	33.87214741
480	33.84745856
481	33.79418038
482	33.79076213
483	33.7363576
484	33.72089951
485	33.70378339
486	33.67100439
487	33.64145537
488	33.62180851
489	33.58757598
490	33.56478972
491	33.51864617
492	33.50069432
493	33.46428331
494	33.44792138
495	33.42614445
496	33.40918086
497	33.39096398
498	33.35705106
499	33.31690107
500	33.28267624
501	33.23925745
502	33.18956504
503	33.1564883
504	33.13604521
505	33.08879978
506	33.05799358
507	33.03188472
508	33.00139465
509	32.94337087
510	32.91830214
511	32.88940941
512	32.87765111
513	32.85301709
514	32.82127613
515	32.78035788
516	32.74446953
517	32.7174439
518	32.68557661
519	32.65910366
520	32.62646396
521	32.59213193
522	32.54644738
523	32.50962421
524	32.48374085
525	32.4588845
526	32.40822976
527	32.38187139
528	32.34551186
529	32.31434556
530	32.2996064
531	32.26232452
532	32.2221977
533	32.19784592
534	32.15363761
535	32.11526863
536	32.0883109
537	32.06443429
538	32.04683571
539	32.02276023
540	31.99458431
541	31.9645551
542	31.9324494
543	31.89167034
544	31.87269924
545	31.85813408
546	31.84142953
547	31.82658557
548	31.80335681
549	31.77749377
550	31.74090002
551	31.7205021
552	31.69388769
553	31.68907164
554	31.65046704
555	31.63390766
556	31.58582822
557	31.55930997
558	31.52664572
559	31.50065362
560	31.46465446
561	31.42023702
562	31.40024799
563	31.38065781
564	31.3606821
565	31.33475998
566	31.30829837
567	31.26814711
568	31.24026687
569	31.22370222
570	31.19910574
571	31.16659507
572	31.1267696
573	31.10990225
574	31.0669738
575	31.04934096
576	31.03770613
577	31.01008974
578	30.96863172
579	30.94845031
580	30.93164367
581	30.9001422
582	30.88783701
583	30.85229555
584	30.81631346
585	30.76681023
586	30.72268853
587	30.69619162
588	30.65628131
589	30.62519339
590	30.57475824
591	30.54908931
592	30.51456601
593	30.49230404
594	30.46327951
595	30.44090093
596	30.41770609
597	30.40366074
598	30.37837903
599	30.3725865
600	30.3439663
601	30.32720406
602	30.30295787
603	30.28392023
604	30.2619568
605	30.23814432
606	30.19135456
607	30.18694216
608	30.18598715
609	30.16016979
610	30.12690257
611	30.10029285
612	30.07331847
613	30.03791089
614	30.00194685
615	29.98306185
616	29.96978163
617	29.94673751
618	29.91855326
619	29.8890896
620	29.85978489
621	29.8377065
622	29.81073918
623	29.77480918
624	29.75033338
625	29.71905159
626	29.69397097
627	29.66316478
628	29.64888444
629	29.61774191
630	29.59060738
631	29.57939291
632	29.54022646
633	29.51769427
634	29.5043379
635	29.47255714
636	29.44397346
637	29.43034931
638	29.41493138
639	29.3810641
640	29.35872637
641	29.3181786
642	29.30568342
643	29.27492678
644	29.25568098
645	29.22792796
646	29.19499537
647	29.16124104
648	29.13910645
649	29.1235356
650	29.10878098
651	29.0817095
652	29.04565683
653	29.02292485
654	29.00520491
655	28.98308553
656	28.9626008
657	28.92812198
658	28.90863992
659	28.8881975
660	28.87582859
661	28.86282378
662	28.84960323
663	28.82965087
664	28.80755903
665	28.78901025
666	28.75842707
667	28.73864568
668	28.70987007
669	28.68518508
670	28.65359976
671	28.63436429
672	28.60953967
673	28.59911003
674	28.57152189
675	28.5572738
676	28.53203193
677	28.51033341
678	28.49496798
679	28.47544531
680	28.45814803
681	28.44758085
682	28.43469384
683	28.40410263
684	28.37627092
685	28.36268695
686	28.33928234
687	28.29845379
688	28.26150004
689	28.24442887
690	28.22682353
691	28.20646185
692	28.17961411
693	28.17030435
694	28.16508852
695	28.1558736
696	28.11844409
697	28.09585888
698	28.07984042
699	28.06143748
700	28.05412923
701	28.03152889
702	28.01566915
703	27.99637813
704	27.97977203
705	27.94924768
706	27.92066874
707	27.89071569
708	27.88147291
709	27.86738226
710	27.84405275
711	27.82177691
712	27.78833055
713	27.75137641
714	27.72211458
715	27.70322492
716	27.67795745
717	27.65275823
718	27.6400182
719	27.62325197
720	27.61133793
721	27.59614648
722	27.56527525
723	27.53202224
724	27.51714029
725	27.5013442
726	27.47000363
727	27.45170337
728	27.43033204
729	27.40799076
730	27.39845262
731	27.37567985
732	27.36065589
733	27.33850937
734	27.32016267
735	27.29911116
736	27.27116108
737	27.23503947
738	27.21599202
739	27.18852819
740	27.1823403
741	27.16366521
742	27.13713207
743	27.10879538
744	27.09442036
745	27.06164748
746	27.04283282
747	27.0193022
748	27.01688894
749	27.01026054
750	26.98572183
751	26.94933731
752	26.939552
753	26.89602851
754	26.86903638
755	26.84692683
756	26.82567645
757	26.79918486
758	26.78214592
759	26.7574178
760	26.74584092
761	26.72645407
762	26.70710004
763	26.68211643
764	26.64634988
765	26.62395672
766	26.599176
767	26.5850254
768	26.56904808
769	26.55699287
770	26.528152
771	26.50362629
772	26.49988913
773	26.46952874
774	26.44032908
775	26.41616486
776	26.39748343
777	26.38577439
778	26.36393613
779	26.35104075
