iter	Passed	Remaining
0	1	1671
1	3	1736
2	5	1696
3	6	1638
4	8	1613
5	9	1581
6	10	1558
7	12	1536
8	14	1549
9	15	1540
10	16	1528
11	18	1510
12	19	1498
13	21	1482
14	22	1481
15	24	1476
16	26	1523
17	27	1525
18	33	1725
19	36	1772
20	40	1911
21	42	1907
22	52	2224
23	67	2751
24	81	3185
25	102	3838
26	112	4048
27	124	4330
28	132	4432
29	144	4675
30	151	4740
31	154	4669
32	158	4636
33	163	4648
34	165	4565
35	171	4588
36	172	4500
37	174	4409
38	175	4328
39	176	4246
40	178	4166
41	179	4101
42	181	4028
43	182	3959
44	183	3891
45	184	3828
46	185	3768
47	187	3717
48	189	3672
49	190	3618
50	191	3565
51	192	3515
52	194	3471
53	195	3425
54	196	3381
55	197	3337
56	199	3294
57	200	3254
58	201	3214
59	202	3178
60	204	3148
61	205	3115
62	207	3080
63	208	3045
64	209	3014
65	210	2982
66	211	2952
67	213	2922
68	214	2892
69	215	2866
70	217	2842
71	218	2818
72	219	2792
73	221	2767
74	222	2742
75	223	2721
76	225	2698
77	226	2676
78	227	2655
79	228	2632
80	230	2610
81	231	2590
82	232	2570
83	233	2550
84	235	2535
85	237	2522
86	238	2505
87	240	2487
88	241	2469
89	242	2450
90	243	2433
91	244	2416
92	246	2400
93	247	2384
94	248	2368
95	249	2353
96	251	2342
97	253	2329
98	254	2314
99	255	2299
100	256	2285
101	258	2272
102	259	2257
103	260	2244
104	261	2229
105	262	2215
106	263	2200
107	264	2186
108	265	2173
109	267	2160
110	268	2150
111	269	2137
112	270	2125
113	271	2112
114	272	2100
115	274	2089
116	275	2077
117	276	2065
118	277	2053
119	278	2041
120	279	2030
121	280	2018
122	281	2008
123	282	1997
124	283	1987
125	285	1977
126	286	1967
127	287	1957
128	288	1947
129	289	1938
130	290	1928
131	291	1919
132	293	1910
133	294	1901
134	295	1891
135	296	1882
136	297	1873
137	298	1865
138	299	1856
139	300	1848
140	302	1840
141	303	1831
142	304	1822
143	305	1814
144	306	1806
145	307	1798
146	308	1791
147	309	1783
148	310	1775
149	312	1769
150	313	1762
151	314	1754
152	315	1748
153	316	1740
154	318	1733
155	319	1726
156	320	1719
157	321	1711
158	322	1704
159	323	1697
160	324	1690
161	325	1683
162	326	1677
163	327	1670
164	328	1663
165	329	1657
166	331	1651
167	332	1644
168	333	1638
169	334	1632
170	335	1625
171	336	1619
172	337	1613
173	338	1607
174	339	1601
175	340	1596
176	342	1590
177	343	1584
178	344	1579
179	345	1573
180	346	1567
181	347	1562
182	348	1557
183	349	1551
184	351	1546
185	352	1541
186	353	1535
187	354	1530
188	355	1525
189	356	1520
190	357	1515
191	358	1509
192	359	1504
193	360	1499
194	362	1494
195	363	1489
196	364	1485
197	365	1480
198	366	1475
199	367	1470
200	368	1465
201	370	1461
202	371	1457
203	372	1452
204	373	1447
205	374	1443
206	375	1438
207	376	1434
208	377	1429
209	378	1425
210	380	1421
211	381	1416
212	382	1412
213	383	1408
214	384	1404
215	385	1400
216	387	1396
217	388	1392
218	389	1388
219	390	1383
220	391	1379
221	392	1375
222	393	1371
223	394	1366
224	395	1363
225	396	1359
226	397	1355
227	399	1351
228	400	1347
229	401	1343
230	402	1339
231	403	1335
232	404	1331
233	405	1327
234	406	1323
235	407	1319
236	408	1316
237	409	1312
238	410	1308
239	411	1304
240	413	1301
241	414	1297
242	415	1294
243	416	1290
244	417	1286
245	418	1283
246	419	1279
247	420	1275
248	421	1271
249	422	1267
250	423	1264
251	424	1260
252	425	1257
253	426	1253
254	428	1250
255	429	1247
256	430	1243
257	431	1240
258	432	1236
259	433	1233
260	434	1229
261	435	1225
262	436	1222
263	437	1219
264	438	1216
265	439	1213
266	440	1210
267	442	1207
268	443	1205
269	444	1202
270	445	1198
271	446	1195
272	447	1192
273	448	1188
274	449	1185
275	451	1183
276	452	1180
277	453	1177
278	454	1175
279	456	1172
280	457	1170
281	458	1168
282	460	1166
283	461	1163
284	462	1161
285	464	1158
286	465	1156
287	466	1154
288	468	1152
289	469	1150
290	471	1148
291	472	1145
292	473	1143
293	475	1140
294	476	1138
295	477	1136
296	478	1133
297	480	1131
298	481	1128
299	482	1126
300	483	1123
301	485	1121
302	486	1119
303	487	1116
304	489	1114
305	490	1112
306	491	1110
307	493	1107
308	494	1105
309	495	1103
310	497	1101
311	498	1098
312	499	1096
313	500	1094
314	501	1091
315	503	1089
316	504	1086
317	505	1084
318	506	1082
319	508	1079
320	509	1077
321	510	1075
322	511	1073
323	513	1070
324	514	1068
325	515	1066
326	516	1063
327	518	1061
328	519	1058
329	520	1056
330	521	1054
331	523	1052
332	524	1051
333	526	1050
334	528	1049
335	530	1047
336	532	1047
337	533	1045
338	536	1045
339	539	1047
340	541	1046
341	544	1047
342	549	1052
343	551	1051
344	553	1050
345	555	1049
346	556	1047
347	557	1045
348	558	1042
349	560	1040
350	561	1038
351	563	1037
352	565	1036
353	566	1034
354	568	1032
355	569	1029
356	570	1027
357	571	1025
358	572	1022
359	574	1020
360	575	1018
361	576	1016
362	577	1013
363	579	1011
364	580	1009
365	581	1007
366	583	1005
367	584	1003
368	586	1003
369	589	1003
370	590	1001
371	592	999
372	593	997
373	594	995
374	596	993
375	597	991
376	599	990
377	600	987
378	601	985
379	603	983
380	604	982
381	606	980
382	607	978
383	608	975
384	609	973
385	610	971
386	611	969
387	613	966
388	614	964
389	615	962
390	616	959
391	617	958
392	619	956
393	620	954
394	621	951
395	622	949
396	623	947
397	624	944
398	625	942
399	626	940
400	628	938
401	629	935
402	630	933
403	631	931
404	632	929
405	633	927
406	634	924
407	635	922
408	637	920
409	638	918
410	639	916
411	640	913
412	641	911
413	642	909
414	643	907
415	644	905
416	645	902
417	647	900
418	648	898
419	649	896
420	650	894
421	651	892
422	653	890
423	654	888
424	655	886
