일자,요일,본사정원수,본사휴가자수,본사출장자수,본사시간외근무명령서승인건수,현본사소속재택근무자수,조식메뉴,중식메뉴,석식메뉴,중식계,석식계
2016-11-30,수,2689,68,207,0,0.0,모닝롤/카스텔라  우유/주스 스크램블에그 누룽지탕/쌀밥 (쌀:국내산) 고추장찌개  김자반  포기김치 (김치:국내산) ,나물비빔밥 (쌀:국내산) 가쯔오장국  치킨핑거*요거트D  감자샐러드  오복지무침  포기김치 (김치:국내산)   ,    *        ,1109.0,0.0
2016-12-28,수,2705,166,225,0,0.0,모닝롤/고구마파이  우유/주스 스크램블에그 누룽지탕/쌀밥 (쌀:국내산) 북어계란국  느타리호박볶음  포기김치 (김치:국내산) ,콩나물밥 (쌀:국내산) 가쯔오장국  미트볼케찹조림  꽃맛살샐러드  군고구마  배추겉절이 (김치:국내산)   ,    *        ,767.0,0.0
2017-01-25,수,2697,79,203,0,0.0,모닝롤/토마토샌드  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 두부젓국찌개  김자반  포기김치 (김치:국내산) ,카레덮밥 (쌀:국내산) 맑은국  유린기  개성감자만두  오이사과무침  포기김치 (김치:국내산) ,     *       ,720.0,0.0
2017-02-22,수,2632,75,252,0,0.0,모닝롤/브라우니  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 꽃게탕  명엽채무침  포기김치 (김치:국내산) ,나물비빔밥 (쌀:국내산) 유부장국  생선까스*탈탈소스  파스타샐러드  마늘쫑볶음  알타리김치 (김치:국내산) ,    *        ,1065.0,0.0
2017-03-22,수,2627,53,235,0,0.0,모닝롤/찐빵  우유/주스 계란후라이 김치죽/쌀밥 (쌀:국내산) 콩나물국  김실파무침  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 돈육김치찌개  유린기  비엔나볶음  세발나물  깍두기 (김치:국내산) ,    *        ,953.0,0.0
2017-04-26,수,2626,45,304,0,0.0,모닝롤/와플  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 된장찌개  검정콩조림  포기김치 (김치:국내산) ,비빔밥 (쌀:국내산) 맑은국  오징어튀김  견과류조림  하와이안샐러드  깍두기 (김치:국내산) ,    *        ,835.0,0.0
2017-05-31,수,2637,43,265,0,0.0,모닝롤/베이글  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 두부젓국찌개  자반김  포기김치 (김치:국내산) ,열무보리비빔밥 (쌀:국내산) 가쯔오장국  탕수만두  콥샐러드  오이지무침  포기김치 (김치:국내산) ,      자기계발의날      ,910.0,0.0
2017-06-28,수,2648,58,259,0,0.0,모닝롤/단팥빵  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 쇠고기매운국  고구마순나물  포기김치 (김치:국내산) ,콩나물밥 (쌀:국내산) 얼갈이된장국  삼치구이  잡채  아삭고추무침  깍두기 (김치:국내산) ,      *자기계발의날*      ,745.0,0.0
2017-07-26,수,2839,254,246,0,0.0,모닝롤/단팥빵  우유/주스 계란후라이 누룽지탕/쌀밥 (쌀:국내산) 민물새우찌개  숙주나물  포기김치 (김치:국내산) ,나물비빔밥  미소장국  파스타샐러드  소세지오븐구이  오렌지  포기김치 (김치:국내산) ,      가정의날      ,797.0,0.0
2017-09-01,금,2642,177,303,45,0.0,모닝롤/단팥빵  우유/주스 계란후라이 단호박죽/쌀밥 (쌀:국내산) 대구찌개  깻순나물  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 시래기국  훈제오리구이  두부구이*양념장  쌈무/양파절임  열무김치 (김치:국내산) ,    *        ,663.0,0.0
2017-09-27,수,2642,70,265,0,0.0,모닝롤/단팥빵  우유/주스 계란후라이 크림누룽지탕/쌀밥 (쌀:국내산) 아욱국  명엽채무침  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 콩나물국  삼겹살구이  어묵볶음  상추파무침  포기김치 (김치:국내산) ,쌀밥/잡곡밥 (쌀:국내산) 된장찌개  미니함박조림  계란말이  비름나물  포기김치 (김치:국내산) ,1023.0,0.0
